C_dimensionless,conductance_m3_per_Pa_s,edge_u,edge_v,geometry_source,harmonic,length_m,radius_m
0.00012416869643686743,1.1821614082208789e-14,56676,56687,radius_adapted_m+length_true,2,2.4764870999663607e-05,7.147106466537282e-06
0.0005755711935538496,3.023364567225919e-15,59238,59287,radius_adapted_m+length_true,2,4.370172730095657e-05,5.8579993625222455e-06
0.0019419633962955653,2.2918141580079074e-15,56169,56173,radius_adapted_m+length_true,2,8.963746284435714e-05,6.5413784826607495e-06
0.008488880737570474,1.1728286575259887e-16,56169,56190,radius_adapted_m+length_true,2,8.897080925648567e-05,3.105435884741872e-06
0.020872444487943984,2.4176968495178548e-17,56685,56688,radius_adapted_m+length_true,2,9.574554031520738e-05,2.131238924294168e-06
0.00012972676896113013,1.0574918904556267e-14,56685,56803,radius_adapted_m+length_true,2,2.4568641648209943e-05,6.93691842664541e-06
0.0014620483771308117,3.0642388257892676e-15,56685,56687,radius_adapted_m+length_true,2,8.172427855301535e-05,6.873381763130085e-06
0.007031187526102741,6.215192051259113e-17,56687,56769,radius_adapted_m+length_true,2,6.34998990220266e-05,2.435336268486845e-06
0.004774279973551443,1.1296964347309437e-16,56688,56700,radius_adapted_m+length_true,2,5.9868021315618836e-05,2.786385525083966e-06
0.008746898851711902,6.655796446315364e-17,57711,57763,radius_adapted_m+length_true,2,7.514587454462507e-05,2.583915655828881e-06
0.0022664029099314412,1.482475953506277e-16,56700,56706,radius_adapted_m+length_true,2,3.9886233587070114e-05,2.6943543465243017e-06
0.005094148385138637,6.328624618386609e-16,58236,58255,radius_adapted_m+length_true,2,0.0001110247752173667,5.002468347611495e-06
0.003996905395048582,4.062834910170267e-16,57216,57232,radius_adapted_m+length_true,2,8.147568755398593e-05,4.14444463227465e-06
0.004752241042288335,2.271162178742596e-16,57733,57763,radius_adapted_m+length_true,2,7.532701408509577e-05,3.51400006063926e-06
0.0006252393001867043,2.2800507829445905e-15,56199,56202,radius_adapted_m+length_true,2,4.203535781297211e-05,5.406196870727313e-06
0.01796302546958441,7.817924861350539e-17,56199,56242,radius_adapted_m+length_true,2,0.00012810100908857794,3.073711134759602e-06
0.0047456470982792966,3.422724873375904e-16,56202,56221,radius_adapted_m+length_true,2,8.628262573898179e-05,4.027873992205349e-06
0.0001708744103387748,3.342876871809242e-14,58255,58260,radius_adapted_m+length_true,2,4.332719187735849e-05,1.0659142552933243e-05
0.0021181804236164972,4.523818928827691e-16,57232,57323,radius_adapted_m+length_true,2,5.5302670170500136e-05,3.864246909135468e-06
0.009108079766927332,1.8679289394584315e-16,58260,58274,radius_adapted_m+length_true,2,0.00010889478041646529,3.6693901699841064e-06
0.0005058728749181385,2.120612281742122e-14,58260,58359,radius_adapted_m+length_true,2,7.675683920243542e-05,1.0974800347990353e-05
0.0022073914392683955,9.735004394170048e-16,59287,59305,radius_adapted_m+length_true,2,7.338951476645781e-05,5.023363222853758e-06
0.0008168487390858713,1.3725630188837364e-15,56221,56242,radius_adapted_m+length_true,2,4.241709509317655e-05,4.772768214567866e-06
0.0003601602200013661,8.458206354025061e-16,58274,58324,radius_adapted_m+length_true,2,2.0910238374861735e-05,3.543327988444642e-06
0.011067343952652532,9.357136023913518e-17,59305,59310,radius_adapted_m+length_true,2,9.847945778707327e-05,3.0103998769570803e-06
0.006736764436361791,2.0982252445493847e-16,57259,57288,radius_adapted_m+length_true,2,9.258074546767561e-05,3.6273982153317085e-06
0.010166250050775805,4.680362941551805e-17,56752,56769,radius_adapted_m+length_true,2,7.387022672877964e-05,2.35607592011135e-06
0.0059115882602091985,1.362813948411759e-16,56752,56784,radius_adapted_m+length_true,2,7.348815966530702e-05,3.0737286492354895e-06
0.0684745812977633,1.7562295051412594e-18,58298,58330,radius_adapted_m+length_true,2,8.820280763331867e-05,1.083971738515164e-06
0.0006244622314507054,4.0749754416868464e-16,58298,58302,radius_adapted_m+length_true,2,2.365818985678641e-05,3.044588949646086e-06
0.008859287157008375,7.750743868099049e-17,58302,58330,radius_adapted_m+length_true,2,7.97350695350425e-05,2.7242705169858584e-06
0.0023493293844410726,2.449184112678169e-16,58302,58872,radius_adapted_m+length_true,2,4.829536818872547e-05,3.2043044166603646e-06
0.00021514993655673528,3.8887238161073747e-16,56769,56771,radius_adapted_m+length_true,2,1.1447190525320542e-05,2.5097389018247635e-06
0.04507398653379791,8.333722806243487e-18,56258,53709,radius_adapted_m+length_true,2,0.00011215863807368869,1.698908480284746e-06
0.006113184847545728,2.8714863870388e-17,56258,56285,radius_adapted_m+length_true,2,4.471806493398633e-05,1.8392869126543777e-06
0.016148509382704263,4.8667876650627625e-17,56258,56270,radius_adapted_m+length_true,2,0.00010188372681493556,2.5783320372123368e-06
0.012090608665509041,2.149046350343597e-17,56771,56784,radius_adapted_m+length_true,2,6.397099418987158e-05,1.8709374159900374e-06
0.00043092165992806967,1.847650570723608e-15,57288,57292,radius_adapted_m+length_true,2,3.057791665427693e-05,4.737060952854248e-06
0.00425504402772286,2.2052689404784195e-16,57292,57304,radius_adapted_m+length_true,2,6.929346660771765e-05,3.41617808274167e-06
1.4588842698578135e-06,3.8264093281373177e-10,56270,56295,radius_adapted_m+length_true,2,4.0789348274540696e-05,0.00010860169108177594
0.007049608955315635,4.630371324691102e-17,58324,58330,radius_adapted_m+length_true,2,5.766571586627618e-05,2.208693314349147e-06
1.0978895709292464e-06,4.4114936052740024e-10,56295,56301,radius_adapted_m+length_true,2,3.538642757423033e-05,0.00010860695393987144
0.003798503629573936,1.434476620043514e-16,40996,41126,radius_adapted_m+length_true,2,5.4916939393673195e-05,2.894689525081735e-06
0.01174822739017461,4.332804324888922e-17,40996,40999,radius_adapted_m+length_true,2,7.821764297585618e-05,2.3443394179308633e-06
0.006865387443069918,1.088218416129367e-16,40996,41153,radius_adapted_m+length_true,2,7.431597753345607e-05,2.91374543539448e-06
0.007033150784672414,7.592424451404988e-17,40999,40932,radius_adapted_m+length_true,2,6.698232972771607e-05,2.5947004171029616e-06
0.009158198552158932,7.552223720898751e-17,40999,40950,radius_adapted_m+length_true,2,7.973184043254752e-05,2.7066287995422455e-06
0.0173876175656279,3.3626010725372006e-17,42036,43311,radius_adapted_m+length_true,2,9.335092782490888e-05,2.299855425949058e-06
0.0047412967160005825,1.3203959600992773e-16,41017,40959,radius_adapted_m+length_true,2,6.192979213076041e-05,2.921816867804777e-06
0.027174545304401852,2.1841564230975187e-17,41017,41153,radius_adapted_m+length_true,2,0.0001088770236539808,2.145640876064769e-06
0.001741653141862557,2.1685197773241975e-16,41017,41078,radius_adapted_m+length_true,2,3.747678934580171e-05,2.917316047006418e-06
0.0014144847526590292,5.142693309224602e-15,39996,39736,radius_adapted_m+length_true,2,9.372652716761133e-05,8.095903583531543e-06
0.0003432689788802664,5.887293887773148e-13,39996,40097,radius_adapted_m+length_true,2,0.00017706324295220318,3.104653036141399e-05
0.015720770872132115,1.5009846597202577e-16,40015,39736,radius_adapted_m+length_true,2,0.0001437169901754941,3.7236866813864383e-06
0.026268297651194417,4.611714337803505e-17,40015,39919,radius_adapted_m+length_true,2,0.00013655540310630873,2.7371264492647255e-06
0.007680338980362119,1.1797338782289768e-16,40015,40065,radius_adapted_m+length_true,2,8.227131004577966e-05,3.0497213188015242e-06
0.0006685894423708987,4.793753098153673e-15,41045,41056,radius_adapted_m+length_true,2,5.555609352783228e-05,6.9799752109093624e-06
0.0013799154229547908,4.1784082573323117e-16,41045,41092,radius_adapted_m+length_true,2,3.993056048813136e-05,3.492055271376361e-06
0.01842982153968578,1.837493766163087e-16,40026,40065,radius_adapted_m+length_true,2,0.00017093179297172318,4.090385312579856e-06
1.7783208338812204e-05,2.595261213906518e-12,40026,40097,radius_adapted_m+length_true,2,4.034600826766858e-05,3.108117667578483e-05
8.374408823035606e-05,1.2083977438190584e-12,40026,40123,radius_adapted_m+length_true,2,8.785629359868365e-05,3.1188733217555844e-05
0.00010543561545511467,1.078794254205904e-12,41056,40370,radius_adapted_m+length_true,2,9.863655675166434e-05,3.1206579691386065e-05
0.00020405456142502597,7.837213706278282e-13,41056,41101,radius_adapted_m+length_true,2,0.0001377055903775817,3.1317014606832954e-05
0.020199814332020727,3.342928045304517e-17,40557,40262,radius_adapted_m+length_true,2,0.00010296131123370693,2.353435569521731e-06
0.008721312070388284,5.158166295768882e-17,40565,40287,radius_adapted_m+length_true,2,6.796517943842108e-05,2.3642722860720385e-06
0.044124183728142134,5.136953067110583e-18,40565,40621,radius_adapted_m+length_true,2,9.284384664960831e-05,1.4358752858335544e-06
0.01241217301135329,4.73130887283684e-17,40565,40620,radius_adapted_m+length_true,2,8.355243619226936e-05,2.436335785293877e-06
0.008934508041925414,9.412310942993208e-17,41078,41092,radius_adapted_m+length_true,2,8.440068825669926e-05,2.9007653775046723e-06
0.01347706143563371,4.578669388057766e-17,41078,41237,radius_adapted_m+length_true,2,8.730585517939658e-05,2.4431363407694677e-06
0.010804187536257929,1.2280790529558751e-16,40065,40089,radius_adapted_m+length_true,2,0.000104681592453909,3.2717205418503794e-06
0.01781776261495127,2.2916270784503534e-17,41092,41108,radius_adapted_m+length_true,2,8.349944027202971e-05,2.032164765230204e-06
0.0010434317803101098,5.232552612733768e-15,41101,41258,radius_adapted_m+length_true,2,7.696277376686305e-05,7.74017212320882e-06
0.00025164197527690105,6.63762185098149e-13,41101,41312,radius_adapted_m+length_true,2,0.00014982801624054774,3.0683395900793354e-05
0.01327489657250381,2.6419804646629765e-17,40594,40287,radius_adapted_m+length_true,2,7.195551759118933e-05,2.0288524583853385e-06
0.004476024146941875,1.4664511400590652e-16,40594,40311,radius_adapted_m+length_true,2,6.171882031880605e-05,2.996907531516015e-06
0.008134528953077882,1.0574122050906147e-16,40594,40644,radius_adapted_m+length_true,2,8.242074122904554e-05,2.9687405761744925e-06
0.0018117263656346936,8.280271836562146e-17,41108,41237,radius_adapted_m+length_true,2,2.7913228538436628e-05,2.130422333232784e-06
0.004654897042715929,2.4376931006561724e-16,41108,41258,radius_adapted_m+length_true,2,7.504697636826453e-05,3.573387357185777e-06
0.0005140831495913579,1.471380388157235e-15,40089,40238,radius_adapted_m+length_true,2,3.145314210711382e-05,4.506602878003716e-06
0.001841609225579877,6.762121868006158e-16,40089,40157,radius_adapted_m+length_true,2,5.6827618445908454e-05,4.30192319100081e-06
