D_ci95_high,D_ci95_low,D_mean,D_median,D_mode,W95_decades,cholesky_attempts,cholesky_failures,cholesky_jitter_uses,cholesky_max_jitter,harmonics,identified,n_boundary_nodes,n_interior_nodes,n_observed_edges,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_to_posterior_width_ratio,prior_width_decades,tile_id
0.03186677898627753,2.4103579374065098e-05,0.006024025690240501,0.001654564731341503,0.0019952623149688807,3.1212566283403587,560511,0,0,0.0,H2,True,46,238,317,0.0034021925227741773,0.0016297300475844904,1.2559044214459067,3.9199999999999995,16
0.05570701129120724,2.1755218790210142e-05,0.007643602029444897,0.0012881986732437391,0.001584893192461114,3.4083464036601647,560511,0,0,0.0,H2,True,65,319,421,0.0038959838486377516,0.008516724270960155,1.1501178388999365,3.9199999999999995,5
0.00017468182998377254,9.999999999999997e-06,5.469838707839368e-05,3.472494315699438e-05,3.9810717055349695e-05,1.2422477329841974,560511,0,0,0.0,H2,True,32,145,198,0.04407330212719586,1.1805117764161318e-14,3.1555702585853425,3.9199999999999995,20
6.285955085517779e-05,9.999999999999997e-06,2.268614468988458e-05,1.4874497740756138e-05,1e-05,0.7983712735664684,560511,0,0,0.0,H2,False,45,131,182,0.20261527456526646,5.651680201981496e-19,4.909996300954884,3.9199999999999995,21
0.0001486331406311222,9.999999999999997e-06,5.214605729491095e-05,3.5874523256917954e-05,3.9810717055349695e-05,1.17211565456943,560511,0,0,0.0,H2,True,39,203,284,0.03702386047961793,6.078620828062509e-14,3.344379869612772,3.9199999999999995,22
0.0014923562558139673,1.1182624389880908e-05,0.00032878700691103114,0.00013577690798914234,0.00019952623149688788,2.1253287727012005,560511,0,0,0.0,H2,True,29,157,207,0.015695438243305,1.0824641298216806e-06,1.84442051994518,3.9199999999999995,25
0.0032268207747703035,1.2144204980108658e-05,0.000600451183316924,0.00012034489974714723,0.00012589254117941674,2.4244057553339373,560511,0,0,0.0,H2,True,44,194,260,0.012147337905471685,0.00015453075036200268,1.6168910634598206,3.9199999999999995,19
0.0006192905755667001,9.999999999999997e-06,0.00013311122308785875,5.2032205584909284e-05,5.011872336272725e-05,1.7918944709178213,560511,0,0,0.0,H2,True,34,187,235,0.04351645133248934,8.579724647935364e-09,2.187628827266902,3.9199999999999995,24
0.00017394332135584764,9.999999999999997e-06,3.673988198032486e-05,1.675932254790642e-05,1e-05,1.2404077584415594,1050849,54482,544820,0.002249249192387424,H2,False,37,144,182,0.1733400366673085,1.5048845891629948e-17,3.1602511136539997,3.9199999999999995,28
0.013976155909665555,1.4139135931848898e-05,0.0022879527879364845,0.0004436857534931135,0.0007943282347242822,2.9949648669811904,560511,0,0,0.0,H2,True,50,182,247,0.008367343423825864,0.0007992277234101975,1.3088634338309313,3.9199999999999995,23
8.520262551013405e-05,9.999999999999997e-06,3.408825958708488e-05,2.4676563237936782e-05,3.1622776601683795e-05,0.9304529777126505,560511,0,0,0.0,H2,False,38,162,210,0.0731314297977865,2.774116904028874e-25,4.213001724855142,3.9199999999999995,29
0.0016192743188467725,1.255074120633995e-05,0.0003769569388678461,0.0001705214566854457,0.0002511886431509582,2.1106510535590184,560511,0,0,0.0,H2,True,38,208,291,0.011261464800384924,7.166150477404684e-07,1.8572468402060227,3.9199999999999995,27
