D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.1,0.1,0.1,0.1,0.1,measured_flow_free_boundary,29964.768730115036,78.64768695568252,0.9432956300452242,1.4195582952750691e-12,1.4195582952750692,6.100181013097432e-14,0.06100181013097432,381,12.794620458483204,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,17847.099056125087,192,182,0,556,175,weighted_least_squares,measured_graph,False,21,sigma,0.0,0.0
1e-06,1e-05,3.1622776601683795e-05,1e-06,1e-06,measured_flow_free_boundary,7790.1659588911325,11.506892110622056,0.8561159618082801,2.20510697052759e-13,0.220510697052759,6.100015831214508e-14,0.06100015831214508,677,5.154275136115592,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,3183.2473210105645,297,285,0,867,190,weighted_least_squares,measured_graph,False,22,sigma,1.0,1.5
1e-06,7.498942093324558e-06,3.1622776601683795e-05,1e-06,1e-06,measured_flow_free_boundary,4056.0328765436943,7.44226215879577,0.7805969538064111,1.267928766489738e-12,1.267928766489738,6.100015831214508e-14,0.06100015831214508,545,4.2483790492129145,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,2542.781421259746,226,217,0,660,115,weighted_least_squares,measured_graph,False,23,sigma,0.875,1.5
0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,measured_flow_free_boundary,38917.73915628983,99.02732609742958,0.8072782800985197,1.634071908760734e-12,1.634071908760734,6.100027550758323e-14,0.06100027550758323,393,15.018945226087338,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,18515.643758324833,184,172,0,528,135,weighted_least_squares,measured_graph,False,24,sigma,0.0,0.0
0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0023713737056616554,0.0017782794100389228,measured_flow_free_boundary,25387.480503229246,52.023525621371405,0.9247328839551814,1.0104052041948146e-12,1.0104052041948146,6.100027550758323e-14,0.06100027550758323,488,10.554953683938871,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,39241.855692458135,241,226,0,693,205,weighted_least_squares,measured_graph,False,25,sigma,0.0,0.12500000000000006
0.07498942093324558,0.07498942093324558,0.07498942093324558,0.07498942093324558,0.07498942093324558,measured_flow_free_boundary,5400.2731812379,19.015046412809507,0.949423966445438,1.056508062276181e-12,1.056508062276181,6.101133736549597e-14,0.06101133736549597,284,5.876437601726812,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,1698.8224938971043,160,152,0,464,180,weighted_least_squares,measured_graph,False,26,sigma,0.0,0.0
0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,0.01778279410038923,measured_flow_free_boundary,36980.44624471787,2311.2778902948667,1.7992239330067574,1.3395961871872652e-12,1.3395961871872653,6.116391577877699e-14,0.06116391577877699,16,35.05112268701142,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,2593.204566981047,31,30,0,91,75,weighted_least_squares,measured_graph,False,27,sigma,0.0,0.0
1e-06,1.333521432163324e-05,5.623413251903491e-05,1e-06,1e-06,measured_flow_free_boundary,182893.97481284162,7951.911948384419,1.9278777785355272,4.22806240016171e-12,4.2280624001617095,6.100025748983157e-14,0.06100025748983157,23,79.38426070840038,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,7955.34007630212,35,29,0,93,70,weighted_least_squares,measured_graph,False,28,sigma,1.125,1.75
0.1,0.1,0.1,0.1,0.1,measured_flow_free_boundary,481525.794483945,2360.4205611958087,1.7225951170887444,4.22806240016171e-12,4.2280624001617095,6.100155179386896e-14,0.06100155179386896,204,63.85603364996655,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,26712.416299041826,123,118,0,359,155,weighted_least_squares,measured_graph,False,29,sigma,0.0,0.0
1e-06,5.623413251903491e-06,1.778279410038923e-05,1e-06,1e-06,measured_flow_free_boundary,99609.70435014433,260.07755704998516,1.449776428676975,2.8315177598359166e-12,2.8315177598359167,6.100127380048697e-14,0.06100127380048697,383,23.673629664506006,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,16821.09850177841,184,177,0,538,155,weighted_least_squares,measured_graph,False,30,sigma,0.75,1.25
0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,0.0031622776601683794,measured_flow_free_boundary,39184.311249027334,76.08604126024726,1.2788769365600636,2.324520444533678e-12,2.324520444533678,6.100000121537205e-14,0.06100000121537205,515,12.816981722717001,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,14230.774709885402,248,236,0,720,205,weighted_least_squares,measured_graph,False,31,sigma,0.0,0.0
0.0001,0.0001333521432163324,0.00017782794100389227,5.623413251903491e-05,4.216965034285822e-06,measured_flow_free_boundary,179765.21718993332,363.8972007893387,1.2806218075205253,2.0179153958974266e-12,2.0179153958974267,6.100001135040928e-14,0.061000011350409285,494,29.950044227590308,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,74613.89177391864,209,200,0,609,115,weighted_least_squares,measured_graph,False,32,sigma,0.37499999999999994,1.625
0.05623413251903491,0.05623413251903491,0.05623413251903491,0.05623413251903491,0.05623413251903491,measured_flow_free_boundary,93384.7352530149,269.1202745043657,1.1253149044762094,3.1428744574510653e-12,3.1428744574510654,6.10003370189043e-14,0.0610003370189043,347,24.75885389243232,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,periphery,27252.145522045976,163,152,0,467,120,weighted_least_squares,measured_graph,False,33,sigma,0.0,0.0
1e-06,5.623413251903491e-06,1.778279410038923e-05,1e-06,1e-06,measured_flow_free_boundary,74546.06840881238,162.05667045393997,1.2841945670742545,3.1428744574510653e-12,3.1428744574510654,6.100007563508509e-14,0.06100007563508509,460,18.795696405203284,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,nan,nan,nan,nan,nan,H1+H2,interior,21392.21674889048,215,210,0,635,175,weighted_least_squares,measured_graph,False,34,sigma,0.75,1.25
