D,chi2,delta_chi2,objective,tile_id,weight_mode
0.0031622776601683794,1.5739882065293345,1.3232122434809461,weighted_least_squares,7,sigma
0.004216965034285823,3.1792931163899194,2.9285171533415313,weighted_least_squares,7,sigma
0.005623413251903491,6.199997106592148,5.94922114354376,weighted_least_squares,7,sigma
0.007498942093324558,11.578705017970586,11.327929054922198,weighted_least_squares,7,sigma
0.01,20.600551306968264,20.349775343919877,weighted_least_squares,7,sigma
0.01333521432163324,34.682208777527535,34.431432814479145,weighted_least_squares,7,sigma
0.01778279410038923,54.849591455816764,54.598815492768374,weighted_least_squares,7,sigma
0.023713737056616554,81.14397976794926,80.89320380490088,weighted_least_squares,7,sigma
0.03162277660168379,112.51023761084845,112.25946164780007,weighted_least_squares,7,sigma
0.042169650342858224,147.4292681641055,147.1784922010571,weighted_least_squares,7,sigma
0.05623413251903491,184.83963612942205,184.58886016637365,weighted_least_squares,7,sigma
0.07498942093324558,224.35381936430286,224.10304340125447,weighted_least_squares,7,sigma
0.1,265.16133219507805,264.91055623202965,weighted_least_squares,7,sigma
1e-06,16.638067802103766,11.49575266672954,weighted_least_squares,8,sigma
1.333521432163324e-06,16.630678698703917,11.488363563329692,weighted_least_squares,8,sigma
1.778279410038923e-06,16.620828811891382,11.478513676517156,weighted_least_squares,8,sigma
2.3713737056616552e-06,16.607700299631183,11.465385164256958,weighted_least_squares,8,sigma
3.162277660168379e-06,16.590204717292803,11.447889581918577,weighted_least_squares,8,sigma
4.216965034285822e-06,16.566894568591437,11.424579433217211,weighted_least_squares,8,sigma
5.623413251903491e-06,16.535846597525797,11.393531462151572,weighted_least_squares,8,sigma
7.498942093324558e-06,16.49450857715412,11.352193441779896,weighted_least_squares,8,sigma
1e-05,16.439499259999653,11.297184124625428,weighted_least_squares,8,sigma
1.333521432163324e-05,16.366349172756404,11.224034037382179,weighted_least_squares,8,sigma
1.778279410038923e-05,16.269168454015663,11.126853318641437,weighted_least_squares,8,sigma
2.3713737056616554e-05,16.140227920806502,10.997912785432277,weighted_least_squares,8,sigma
3.1622776601683795e-05,15.969443199910195,10.82712806453597,weighted_least_squares,8,sigma
4.216965034285822e-05,15.743763060392451,10.601447925018228,weighted_least_squares,8,sigma
5.623413251903491e-05,15.446489718867737,10.304174583493513,weighted_least_squares,8,sigma
7.498942093324559e-05,15.056615080230632,9.914299944856406,weighted_least_squares,8,sigma
0.0001,14.548368652363349,9.406053516989125,weighted_least_squares,8,sigma
0.0001333521432163324,13.89138765708235,8.749072521708126,weighted_least_squares,8,sigma
0.00017782794100389227,13.052322278844303,7.910007143470078,weighted_least_squares,8,sigma
0.00023713737056616554,11.999427214448291,6.857112079074066,weighted_least_squares,8,sigma
0.00031622776601683794,10.713013298085608,5.570698162711383,weighted_least_squares,8,sigma
0.00042169650342858224,9.206923614921763,4.064608479547538,weighted_least_squares,8,sigma
0.0005623413251903491,7.569942484942767,2.4276273495685423,weighted_least_squares,8,sigma
0.0007498942093324559,6.041515736022228,0.8992006006480029,weighted_least_squares,8,sigma
0.001,5.142315135374225,0.0,weighted_least_squares,8,sigma
0.001333521432163324,5.882075387302837,0.7397602519286126,weighted_least_squares,8,sigma
