D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
1e-06,3.162277660168379e-06,1e-05,1e-06,1e-06,mosaic_flow_free_boundary,20070.604249588832,11.737195467595809,1.7183542274447388,3.371040538174446e-12,3.3710405381744457,6.100000000174101e-14,0.061000000001741016,1710,7.0520446372221235,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,1.1712584294168873,3e-14,0.03,3e-14,0.03,H1+H2,periphery,8936.34145956277,371,371,371,1855,145,weighted_least_squares,False,41,sigma,0.5,1.0
0.001,0.001,0.001,0.001,0.0007498942093324559,mosaic_flow_free_boundary,7.001091547389131,0.004730467261749413,0.04412260048705794,4.606444330247803e-13,0.4606444330247803,6.100000000174101e-14,0.061000000001741016,1480,0.13918978589439665,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.02355113343376291,3e-14,0.03,3e-14,0.03,H1+H2,periphery,6867.1778561236815,320,320,320,1600,120,weighted_least_squares,False,42,sigma,0.0,0.12499999999999999
0.001,0.001333521432163324,0.0017782794100389228,0.0005623413251903491,0.0001333521432163324,mosaic_flow_free_boundary,2.1031109710502274,0.001318564872131804,0.04279579957018469,1.143492987301907e-13,0.1143492987301907,6.100000000174101e-14,0.061000000001741016,1595,0.06397748630198309,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.008057745276616552,3e-14,0.03,3e-14,0.03,H1+H2,interior,898.1434337901899,351,351,351,1755,160,weighted_least_squares,False,43,sigma,0.37499999999999994,1.125
0.001,0.0017782794100389228,0.0023713737056616554,0.00023713737056616554,1e-06,mosaic_flow_free_boundary,0.13319265146370746,0.00011335544805421911,0.0031009170251821935,1.0964187922448587e-13,0.10964187922448587,6.100001345859858e-14,0.06100001345859858,1175,0.02176483464628076,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0024772765424375025,3e-14,0.03,3e-14,0.03,H1+H2,interior,593.906797589092,272,272,272,1360,185,weighted_least_squares,False,44,sigma,0.875,3.375
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.1569053255942515,0.00016429877025576074,0.00407829382805134,6.950134290562272e-14,0.06950134290562272,6.100000008712154e-14,0.06100000008712154,955,0.026787380997017884,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.001563958460495919,3e-14,0.03,3e-14,0.03,H1+H2,interior,260.3671079850519,213,213,213,1065,110,weighted_least_squares,False,45,sigma,3.375,3.625
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.14688592265160444,0.0001971623122840328,0.0036269102338789406,6.950134290562272e-14,0.06950134290562272,6.100000008712154e-14,0.06100000008712154,745,0.02894663830895825,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0016581761113838567,3e-14,0.03,3e-14,0.03,H1+H2,interior,103.5565285678828,172,172,172,860,115,weighted_least_squares,False,46,sigma,3.625,3.875
0.001333521432163324,0.007498942093324558,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.14175018730624983,0.00029226842743556664,0.004035810098792194,6.950134290562452e-14,0.06950134290562451,6.100000008712154e-14,0.06100000008712154,485,0.03466445025905689,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.001989940538053844,3e-14,0.03,3e-14,0.03,H1+H2,interior,29.706312006752942,116,116,116,580,95,weighted_least_squares,False,47,sigma,3.875,4.25
0.001,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.0008057262001796814,1.1113464830064572e-06,0.0021260434892189776,8.15198070579438e-14,0.0815198070579438,6.100000227979763e-14,0.061000002279797634,725,0.0006667269762612603,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,5.5218680629071054e-05,3e-14,0.03,3e-14,0.03,H1+H2,interior,0.03372597372436848,162,162,162,810,85,weighted_least_squares,True,48,sigma,5.0,5.0
0.001,0.1,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.047855300566481816,3.480385495744132e-05,0.012406569173550222,7.398193918184948e-14,0.07398193918184948,6.100000005375982e-14,0.061000000053759815,1375,0.0016941821507994788,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00016538821320533708,3e-14,0.03,3e-14,0.03,H1+H2,interior,0.18063799022218852,305,305,305,1525,150,weighted_least_squares,True,49,sigma,5.0,5.0
0.001,0.004216965034285823,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.09055412575074712,5.823416446993384e-05,0.014455047586633496,7.864081301191481e-14,0.0786408130119148,6.100000236908e-14,0.06100000236908,1555,0.00693799744761575,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0010828740015995197,3e-14,0.03,3e-14,0.03,H1+H2,interior,6.423882463385518,349,349,349,1745,190,weighted_least_squares,False,50,sigma,3.625,4.25
0.001,0.001333521432163324,0.0023713737056616554,0.00031622776601683794,1e-06,mosaic_flow_free_boundary,0.5987616812808165,0.00039134750410510884,0.014653212860896315,1.1977595237199219e-13,0.11977595237199219,6.100000127478858e-14,0.06100000127478857,1530,0.038466909840224536,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.009619162964323864,3e-14,0.03,3e-14,0.03,H1+H2,periphery,81.44819896263009,335,335,335,1675,145,weighted_least_squares,False,51,sigma,0.625,3.375
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.012050905956907866,7.216111351441836e-06,0.0028087375510746355,7.382262939315798e-14,0.07382262939315798,6.100000127478858e-14,0.06100000127478857,1670,0.00495174280104741,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.0011193131423065232,3e-14,0.03,3e-14,0.03,H1+H2,periphery,15.46360115082185,358,358,358,1790,120,weighted_least_squares,False,52,sigma,3.625,3.875
0.001,0.007498942093324558,0.01778279410038923,1e-06,1e-06,mosaic_flow_free_boundary,0.015301954513531993,8.316279626919562e-06,0.005388140354855814,9.644578795814488e-14,0.09644578795814487,6.100000083155428e-14,0.061000000831554275,1840,0.002765235577125816,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00041588316278211133,3e-14,0.03,3e-14,0.03,H1+H2,interior,9.807668786558807,414,414,414,2070,230,weighted_least_squares,False,53,sigma,3.875,4.25
0.001,0.042169650342858224,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.021522563916837528,1.668415807506785e-05,0.008451439435446224,9.688158441149144e-14,0.09688158441149143,6.100000005375982e-14,0.061000000053759815,1290,0.0011298181904919216,1.2000000000000001e-14,0.012,1.2000000000000001e-14,0.012,0.00012891228138215487,3e-14,0.03,3e-14,0.03,H1+H2,interior,1.513747528332518,289,289,289,1445,155,weighted_least_squares,False,54,sigma,4.625,5.0
