D_hat,D_hi_lr3,D_lo_lr3,D_p025,D_p500,D_p975,ablation,chi2_h1_red_at_mode,harmonics,location,log_likelihood_at_mode,log_posterior_at_mode,log_prior_at_mode,max_neg2_delta_logpost,mode_at_grid_boundary,n_boundary,n_h1,n_obs,n_params_marginalized,objective,observation_source,sigma_h1_nL_s_at_mode,tile_id,weight_mode,width_decades_lr3
0.01,0.01584893192461114,0.002511886431509582,0.0018380140117300798,0.007768649552016586,0.013916679912365447,bayes_h1_marginal_boundary,1.0000000004890437,H1,interior,13485.37689865386,13485.037485847157,-0.3394128067022262,61.776001932437794,False,41,236,472,82,bayes_h1_marginal_boundary,measured_graph,0.18737578725421616,31,h1_z,0.7999999999999998
0.000630957344480193,0.001584893192461114,1e-05,1.6212154690300167e-05,0.00033661248058398165,0.0012248472451458661,bayes_h1_marginal_boundary,1.0000000192268603,H1,periphery,11330.1883156744,11330.117593356832,-0.07072231756904392,241.60473714786713,False,23,200,400,46,bayes_h1_marginal_boundary,measured_graph,0.2910502308879663,32,h1_z,2.2
0.1,0.1,0.07943282347242822,0.06468113997332874,0.08690602751226605,0.09934530137561332,bayes_h1_marginal_boundary,1.0000000068702994,H1,periphery,8637.440130614887,8635.77680906724,-1.663321547646544,138.7964301774955,True,24,152,304,48,bayes_h1_marginal_boundary,measured_graph,0.24038647625662032,33,h1_z,0.09999999999999964
0.00031622776601683794,0.001584893192461114,1e-05,1.2457653580743958e-05,0.000167456398810333,0.0010152889092097993,bayes_h1_marginal_boundary,1.0000000095980788,H1,interior,12038.558997892847,12038.330448197561,-0.22854969528574837,152.39315024399912,False,35,210,420,70,bayes_h1_marginal_boundary,measured_graph,0.17917271864706777,34,h1_z,2.2
0.0007943282347242822,0.005011872336272725,1e-05,1.607716224794398e-05,0.0003863862853042005,0.0030652052383663675,bayes_h1_marginal_boundary,1.000000666250127,H1,interior,8826.240536981866,8826.202423790202,-0.03811319166347554,85.67201895652397,False,36,155,310,72,bayes_h1_marginal_boundary,measured_graph,0.22032919010536348,35,h1_z,2.7
0.001584893192461114,0.0031622776601683794,1.584893192461114e-05,2.2184775121645278e-05,0.000713515514965907,0.0024695219318866353,bayes_h1_marginal_boundary,1.0000012432819765,H1,interior,4173.194660386242,4173.194374572295,-0.0002858139467712683,80.49158092860489,False,22,73,146,44,bayes_h1_marginal_boundary,measured_graph,0.19721782202379892,36,h1_z,2.3
0.01,0.03162277660168379,0.002511886431509582,0.0016271547300577816,0.008429955839207455,0.0248342435945636,bayes_h1_marginal_boundary,1.000000473391946,H1,interior,1769.1574817609471,1768.8180689542448,-0.3394128067022262,16.44017029532006,False,15,32,64,30,bayes_h1_marginal_boundary,measured_graph,0.5138894845439134,37,h1_z,1.0999999999999996
0.01584893192461114,0.1,0.003981071705534973,0.004178475194331177,0.02004000618548585,0.08645394596593461,bayes_h1_marginal_boundary,1.0000024580893698,H1,interior,1650.2815362169276,1649.7573416620367,-0.5241945548910899,15.462900198273928,False,15,30,60,30,bayes_h1_marginal_boundary,measured_graph,0.502273363408119,38,h1_z,1.4
0.0005011872336272725,0.0031622776601683794,1e-05,1.4127188393738302e-05,0.00025697854164382446,0.0019684682439520857,bayes_h1_marginal_boundary,1.0000021403261403,H1,interior,8316.715266037674,8316.6019345942,-0.11333144347461188,79.78848159088739,False,22,146,292,44,bayes_h1_marginal_boundary,measured_graph,0.28938332529593197,39,h1_z,2.5
0.0019952623149688807,0.003981071705534973,1e-05,1.7902907287480692e-05,0.0007528526352523411,0.0028666585618166924,bayes_h1_marginal_boundary,1.0000083499987442,H1,interior,11524.683463439585,11524.675786751544,-0.007676688041203171,56.939057163086545,False,42,209,418,84,bayes_h1_marginal_boundary,measured_graph,0.7221149135387815,40,h1_z,2.6
0.0012589254117941675,0.012589254117941675,0.00019952623149688788,0.00015534770469386252,0.001235932977268624,0.008255650200976189,bayes_h1_marginal_boundary,1.0000003178646069,H1,periphery,10826.933124855668,10826.930229915815,-0.0028949398523394052,31.696240023487917,False,29,189,378,58,bayes_h1_marginal_boundary,measured_graph,0.21343886156156913,41,h1_z,1.8000000000000003
0.0012589254117941675,0.005011872336272725,0.0005011872336272725,0.0004613600784372211,0.0012642074721417244,0.004073607336570204,bayes_h1_marginal_boundary,1.0000000271882876,H1,periphery,9598.832484725704,9598.829589785852,-0.0028949398523394052,45.59824837384076,False,24,166,332,48,bayes_h1_marginal_boundary,measured_graph,0.1652234452177958,42,h1_z,0.9999999999999999
0.01995262314968881,0.039810717055349734,0.012589254117941675,0.011128625711061022,0.01988923017400078,0.038322604684416534,bayes_h1_marginal_boundary,1.000000044801652,H1,interior,11146.119039852412,11145.487454423426,-0.6315854289855218,39.05506134967072,False,32,199,398,64,bayes_h1_marginal_boundary,measured_graph,0.4696286109034387,43,h1_z,0.5
0.002511886431509582,0.01,1.584893192461114e-05,2.7323161453627434e-05,0.0013606170623468566,0.006864024986125917,bayes_h1_marginal_boundary,1.0000023327497072,H1,interior,6153.1708892884335,6153.145821726298,-0.025067562135635053,41.669465022643635,False,37,115,230,74,bayes_h1_marginal_boundary,measured_graph,1.788454782022967,44,h1_z,2.8
