D,chi2_h1_red,delta_chi2,log_likelihood,log_posterior,log_prior,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,tile_id,weight_mode
0.07943282347242822,1.0000000000229106,181.93211646933196,18295.447156016657,18293.961225343104,-1.4859306735521132,181.93211646933196,bayes_h1_marginal_boundary,measured_graph,4.330934233625537e-41,0.06023316780810049,2,h1_z
0.1,1.0000000000308975,191.1393065176744,18291.02095186658,18289.357630318933,-1.663321547646544,191.1393065176744,bayes_h1_marginal_boundary,measured_graph,4.3377615314995354e-43,0.060561340829732226,2,h1_z
1e-05,1.0000001287819635,80.7264677619969,14433.653021426004,14431.285334842134,-2.3676865838692702,80.7264677619969,bayes_h1_marginal_boundary,measured_graph,1.2597389959361582e-18,0.07566109075193371,3,h1_z
1.2589254117941661e-05,1.0000004154762163,80.1241283616655,14433.741582000264,14431.5865045423,-2.155077457963703,80.1241283616655,bayes_h1_marginal_boundary,measured_graph,1.7024599824373174e-18,0.075623838413454,3,h1_z
1.584893192461114e-05,1.0000000050749676,79.44077599197408,14433.880649059203,14431.928180727145,-1.952468332058134,79.44077599197408,bayes_h1_marginal_boundary,measured_graph,2.395879623626786e-18,0.0755657071229845,3,h1_z
1.9952623149688786e-05,1.0000000212024838,78.62071925008422,14434.098068304243,14432.33820909809,-1.7598592061525666,78.62071925008422,bayes_h1_marginal_boundary,measured_graph,3.610256452804378e-18,0.07547567791018073,3,h1_z
2.5118864315095822e-05,1.000000078335972,77.58035479635146,14434.435641405204,14432.858391324957,-1.5772500802469966,77.58035479635146,bayes_h1_marginal_boundary,measured_graph,6.0736578589231625e-18,0.0753381554595186,3,h1_z
3.1622776601683795e-05,1.000000249625933,76.19882018234057,14434.953799586303,14433.549158631962,-1.404640954341429,76.19882018234057,bayes_h1_marginal_boundary,measured_graph,1.2118441015110338e-17,0.07513255409694444,3,h1_z
3.9810717055349695e-05,1.0000006584223113,74.31181025932892,14435.734695421905,14434.492663593468,-1.2420318284358616,74.31181025932892,bayes_h1_marginal_boundary,measured_graph,3.113190895958357e-17,0.07483539350576081,3,h1_z
5.011872336272725e-05,1.0000013451065073,71.71965348741651,14436.878164681955,14435.788741979424,-1.089422702530293,71.71965348741651,bayes_h1_marginal_boundary,measured_graph,1.1378511240851576e-16,0.07442774035886636,3,h1_z
6.309573444801929e-05,1.000001937617393,68.22973514636033,14438.480514726578,14437.533701149952,-0.9468135766247254,68.22973514636033,bayes_h1_marginal_boundary,measured_graph,6.514957422507483e-16,0.07391035615823288,3,h1_z
7.943282347242822e-05,1.000001763421566,63.75313621394889,14440.586205066877,14439.772000616158,-0.8142044507191568,63.75313621394889,bayes_h1_marginal_boundary,measured_graph,6.109317400103066e-15,0.07332146372474084,3,h1_z
0.0001,1.0000009208587965,58.434910564599704,14443.122708765646,14442.431113440833,-0.6915953248135883,58.434910564599704,bayes_h1_marginal_boundary,measured_graph,8.726311571268949e-14,0.07273761416433391,3,h1_z
0.00012589254117941674,1.0000002636210124,52.71099317309927,14445.872058335492,14445.293072136583,-0.5789861989080206,52.71099317309927,bayes_h1_marginal_boundary,measured_graph,1.526734727670472e-12,0.07224029036643566,3,h1_z
0.00015848931924611142,1.000002710253208,47.174373000947526,14448.537759295661,14448.061382222659,-0.47637707300245236,47.174373000947526,bayes_h1_marginal_boundary,measured_graph,2.4323461441608795e-11,0.07187066963144627,3,h1_z
0.00019952623149688788,1.000000462125986,42.31380399965201,14450.875434670403,14450.491666723306,-0.38376794709688455,42.31380399965201,bayes_h1_marginal_boundary,measured_graph,2.763659453996264e-10,0.07161816147376719,3,h1_z
0.0002511886431509582,1.0000000596455585,38.341532210437435,14452.778961439106,14452.477802617914,-0.30115882119131615,38.341532210437435,bayes_h1_marginal_boundary,measured_graph,2.013967167959479e-09,0.07144338701079962,3,h1_z
0.00031622776601683794,1.0000000063182897,35.200509726342716,14454.276863555247,14454.048313859961,-0.22854969528574837,35.200509726342716,bayes_h1_marginal_boundary,measured_graph,9.685381959186342e-09,0.07130584824789499,3,h1_z
0.00039810717055349735,1.0000000005903609,32.6743799467622,14455.477319319132,14455.311378749751,-0.16594056938017995,32.6743799467622,bayes_h1_marginal_boundary,measured_graph,3.424986503423518e-08,0.07117519905097362,3,h1_z
0.0005011872336272725,1.000000000051738,30.492629310610937,14456.5155855113,14456.402254067827,-0.11333144347461188,30.492629310610937,bayes_h1_marginal_boundary,measured_graph,1.0195769192313335e-07,0.07103118098283781,3,h1_z
0.000630957344480193,1.0000000217767664,28.391123245361086,14457.52372941802,14457.453007100452,-0.07072231756904392,28.391123245361086,bayes_h1_marginal_boundary,measured_graph,2.9157899816727073e-07,0.07085986511487526,3,h1_z
0.0007943282347242822,1.000000004381078,26.135841031446034,14458.618761399073,14458.58064820741,-0.03811319166347554,26.135841031446034,bayes_h1_marginal_boundary,measured_graph,9.005017263828667e-07,0.07065050911557728,3,h1_z
0.001,1.0000000009470984,23.531111722495552,14459.898516927642,14459.883012861885,-0.015504065757907535,23.531111722495552,bayes_h1_marginal_boundary,measured_graph,3.3120305391732925e-06,0.07039417390263956,3,h1_z
0.0012589254117941675,1.0000000002304537,20.431265756495122,14461.435830784738,14461.432935844885,-0.0028949398523394052,20.431265756495122,bayes_h1_marginal_boundary,measured_graph,1.5603331361099132e-05,0.07008426311367275,3,h1_z
0.001584893192461114,1.0000000000660476,16.770057504727447,14463.263825784716,14463.263539970769,-0.0002858139467712683,16.770057504727447,bayes_h1_marginal_boundary,measured_graph,9.732817991594664e-05,0.06971910969523264,3,h1_z
0.0019952623149688807,1.0000000000228781,12.615866851861938,14465.348311985243,14465.340635297202,-0.007676688041203171,12.615866851861938,bayes_h1_marginal_boundary,measured_graph,0.0007768007578348578,0.06930670825312281,3,h1_z
0.002511886431509582,1.0000000000095337,8.244566355711868,14467.551353107412,14467.526285545277,-0.025067562135635053,8.244566355711868,bayes_h1_marginal_boundary,measured_graph,0.0069107547781989374,0.0688706513582015,3,h1_z
0.0031622776601683794,1.0000000000046616,4.188434360701649,14469.606809979012,14469.554351542782,-0.05245843623006681,4.188434360701649,bayes_h1_marginal_boundary,measured_graph,0.05251741659032859,0.06845388700028911,3,h1_z
0.003981071705534973,1.0000000000026232,1.187233755554189,14471.14480115568,14471.054951845355,-0.08984931032449865,1.187233755554189,bayes_h1_marginal_boundary,measured_graph,0.23550806560745705,0.06811472369716269,3,h1_z
0.005011872336272725,1.0000000000017066,-0.0,14471.78580890755,14471.648568723132,-0.13724018441893068,-0.0,bayes_h1_marginal_boundary,measured_graph,0.4263932487170116,0.06791239895451646,3,h1_z
0.006309573444801936,1.0000000000013103,1.1628203308682714,14471.261789616212,14471.067158557698,-0.19463105851336257,1.1628203308682714,bayes_h1_marginal_boundary,measured_graph,0.2384004622307976,0.06788914102536416,3,h1_z
0.00794328234724282,1.0000000000011668,4.859078410878283,14469.4810514503,14469.219029517693,-0.26202193260779433,4.859078410878283,bayes_h1_marginal_boundary,measured_graph,0.03755561248700741,0.06806104773212819,3,h1_z
0.01,1.0000000000011862,10.947998140338314,14466.513982459666,14466.174569652963,-0.3394128067022262,10.947998140338314,bayes_h1_marginal_boundary,measured_graph,0.0017884744060773213,0.06842041914378426,3,h1_z
0.012589254117941675,1.0000000000013063,19.03837897199628,14462.556182917931,14462.129379237134,-0.42680368079665804,19.03837897199628,bayes_h1_marginal_boundary,measured_graph,3.1309696205450333e-05,0.06894056920901584,3,h1_z
0.01584893192461114,1.000000000001506,28.549940767450607,14457.897792894299,14457.373598339407,-0.5241945548910899,28.549940767450607,bayes_h1_marginal_boundary,measured_graph,2.693205251941495e-07,0.0695791471262321,3,h1_z
0.01995262314968881,1.0000000000017932,38.84104538836982,14452.859631457934,14452.228046028948,-0.6315854289855218,38.84104538836982,bayes_h1_marginal_boundary,measured_graph,1.56886103910147e-09,0.07028694027971902,3,h1_z
0.025118864315095822,1.0000000000022111,49.423505941489566,14447.685792055468,14446.936815752388,-0.7489763030799538,49.423505941489566,bayes_h1_marginal_boundary,measured_graph,7.900095955876198e-12,0.07102463481197746,3,h1_z
0.03162277660168379,1.0000000000028093,60.128756771337066,14442.460557514638,14441.584190337464,-0.8763671771743852,60.128756771337066,bayes_h1_marginal_boundary,measured_graph,3.741249613125672e-14,0.07177698269410282,3,h1_z
0.039810717055349734,1.0000000000036182,71.10988149139303,14437.107386028705,14436.093627977436,-1.0137580512688171,71.10988149139303,bayes_h1_marginal_boundary,measured_graph,1.5434613169435876e-16,0.0725544564961017,3,h1_z
0.05011872336272725,1.0000000000046072,82.71191244529473,14431.453761425848,14430.292612500485,-1.1611489253632492,82.71191244529473,bayes_h1_marginal_boundary,measured_graph,4.668170806851094e-19,0.07338417091184414,3,h1_z
0.06309573444801936,1.0000000000057572,95.29713454062585,14425.318541252278,14424.00000145282,-1.3185397994576809,95.29713454062585,bayes_h1_marginal_boundary,measured_graph,8.635758397741889e-22,0.07429664804868087,3,h1_z
0.07943282347242822,1.0000000000071352,109.07874465333225,14418.595127070019,14417.109196396466,-1.4859306735521132,109.07874465333225,bayes_h1_marginal_boundary,measured_graph,8.783384034345942e-25,0.07531252625232672,3,h1_z
0.1,1.0000000000090272,124.01762366166076,14411.303078439949,14409.639756892302,-1.663321547646544,124.01762366166076,bayes_h1_marginal_boundary,measured_graph,5.008705675581392e-28,0.07643365701859797,3,h1_z
1e-05,1.0000000031837981,15.238762058976135,15448.230438502442,15445.862751918572,-2.3676865838692702,15.238762058976135,bayes_h1_marginal_boundary,measured_graph,4.756978321377755e-05,0.08870606451353923,4,h1_z
1.2589254117941661e-05,1.0000000098128807,14.775387226349267,15448.24951679285,15446.094439334885,-2.155077457963703,14.775387226349267,bayes_h1_marginal_boundary,measured_graph,5.9972442769512475e-05,0.08869504254164706,4,h1_z
