D,chi2_h1_red,chi2_h2_red,delta_chi2,harmonics,log_likelihood,log_posterior,log_prior,n_h1,n_h2,neg2_delta_logpost,objective,observation_source,posterior_prob,sigma_h1_nL_s,sigma_h2_nL_s,tile_id,weight_mode
0.0001,1.0000000744172504,0.9999999999260134,1.4792288395547075,H1+H2,36383.20607461248,36382.51447928766,-0.6915953248135883,285,311,1.4792288395547075,bayes_h1h2_marginal_boundary,measured_graph,0.060694996577866825,0.05684771928041227,0.014725284901522279,22,h1:h1_z;h2:h2_z
0.00012589254117941674,1.0000001518036223,0.9999999999921511,2.379967107466655,H1+H2,36382.643096352615,36382.064110153704,-0.5789861989080206,285,311,2.379967107466655,bayes_h1h2_marginal_boundary,measured_graph,0.03868655532338858,0.05668643910978755,0.014748288632649554,22,h1:h1_z;h2:h2_z
0.00015848931924611142,1.0000002171672968,0.9999999999992771,3.433379998692544,H1+H2,36382.0137807811,36381.53740370809,-0.47637707300245236,285,311,3.433379998692544,bayes_h1h2_marginal_boundary,measured_graph,0.022846220215634615,0.056484694962604984,0.014778356117632698,22,h1:h1_z;h2:h2_z
0.00019952623149688788,1.0000001972402348,0.9999999970762242,4.749942415088299,H1+H2,36381.26289044699,36380.87912249989,-0.38376794709688455,285,311,4.749942415088299,bayes_h1h2_marginal_boundary,measured_graph,0.011828412523008803,0.05626121398761063,0.014817413851184309,22,h1:h1_z;h2:h2_z
0.0002511886431509582,1.0000001041340596,0.999999999440607,6.660915107146138,H1+H2,36380.22479497505,36379.923636153864,-0.30115882119131615,285,311,6.660915107146138,bayes_h1h2_marginal_boundary,measured_graph,0.004549503618478045,0.05605073830579513,0.014868207069956285,22,h1:h1_z;h2:h2_z
0.00031622776601683794,1.0000022225727194,0.9999999998900527,9.768481671897462,H1+H2,36378.59840256677,36378.36985287149,-0.22854969528574837,285,311,9.768481671897462,bayes_h1h2_marginal_boundary,measured_graph,0.0009619766026286283,0.05589093354739276,0.014934520578353925,22,h1:h1_z;h2:h2_z
0.00039810717055349735,1.0000005558208784,0.9999999999759422,14.887288122525206,H1+H2,36375.976390215554,36375.810449646175,-0.16594056938017995,285,311,14.887288122525206,bayes_h1h2_marginal_boundary,measured_graph,7.440974418295433e-05,0.0558049763408635,0.015021510019278395,22,h1:h1_z;h2:h2_z
0.0005011872336272725,1.0000000974887926,0.9999999999934127,22.917902309942292,H1+H2,36371.90847399594,36371.795142552466,-0.11333144347461188,285,311,22.917902309942292,bayes_h1h2_marginal_boundary,measured_graph,1.342159400424575e-06,0.05579566143565603,0.015136137800259434,22,h1:h1_z;h2:h2_z
0.000630957344480193,1.000000013042766,0.9999999999974609,34.76828111066425,H1+H2,36365.940675469676,36365.869953152105,-0.07072231756904392,285,311,34.76828111066425,bayes_h1h2_marginal_boundary,measured_graph,3.585312676990707e-09,0.055855515342236324,0.015287670326556813,22,h1:h1_z;h2:h2_z
0.0007943282347242822,1.000000001469031,0.9999999999985802,51.381487420236226,H1+H2,36357.601463188985,36357.56334999732,-0.03811319166347554,285,311,51.381487420236226,bayes_h1h2_marginal_boundary,measured_graph,8.851464323072701e-13,0.05597908608589776,0.01548810151587066,22,h1:h1_z;h2:h2_z
0.001,1.000000000156193,0.9999999999989381,73.7988010400295,H1+H2,36346.37019725318,36346.35469318742,-0.015504065757907535,285,311,73.7988010400295,bayes_h1h2_marginal_boundary,measured_graph,1.1999338948439712e-17,0.05616989144116128,0.01575217932026466,22,h1:h1_z;h2:h2_z
0.0012589254117941675,1.0000000555805164,0.999999999999054,103.1472055426857,H1+H2,36331.68338587595,36331.680490936094,-0.0028949398523394052,285,311,103.1472055426857,bayes_h1h2_marginal_boundary,measured_graph,5.0843127465386344e-24,0.056442433599770504,0.016096408340939235,22,h1:h1_z;h2:h2_z
0.001584893192461114,1.0000000158186877,0.9999999999990775,140.4655974759371,H1+H2,36313.02158078342,36313.02129496947,-0.0002858139467712683,285,311,140.4655974759371,bayes_h1h2_marginal_boundary,measured_graph,4.005404782106995e-32,0.05682241988988386,0.016536089021688544,22,h1:h1_z;h2:h2_z
0.0019952623149688807,1.0000000061153023,0.9999999999990609,186.3432878209278,H1+H2,36290.09012648502,36290.08244979697,-0.007676688041203171,285,311,186.3432878209278,bayes_h1h2_marginal_boundary,measured_graph,4.3695079348578975e-42,0.05734643425683939,0.017079570478787068,22,h1:h1_z;h2:h2_z
0.002511886431509582,1.0000000033289707,0.9999999999990313,240.45686951841344,H1+H2,36263.050726510366,36263.02565894823,-0.025067562135635053,285,311,240.45686951841344,bayes_h1h2_marginal_boundary,measured_graph,7.759211120005171e-54,0.05805997201626641,0.01772028923824632,22,h1:h1_z;h2:h2_z
0.0031622776601683794,1.0000000023734528,0.9999999999990045,301.24553020381427,H1+H2,36232.68378704176,36232.63132860553,-0.05245843623006681,285,311,301.24553020381427,bayes_h1h2_marginal_boundary,measured_graph,4.894717368284856e-67,0.05901080929337002,0.01843027658124294,22,h1:h1_z;h2:h2_z
0.003981071705534973,1.000000001984585,0.9999999999989978,366.0035377846216,H1+H2,36200.34217412545,36200.25232481513,-0.08984931032449865,285,311,366.0035377846216,bayes_h1h2_marginal_boundary,measured_graph,4.243311790274202e-81,0.06023418113200842,0.019161506820498955,22,h1:h1_z;h2:h2_z
0.005011872336272725,1.0000000017877746,0.999999999999017,431.42188683770655,H1+H2,36167.680390473004,36167.543150288584,-0.13724018441893068,285,311,431.42188683770655,bayes_h1h2_marginal_boundary,measured_graph,2.6441795346315364e-95,0.061729390634708614,0.019858705107802875,22,h1:h1_z;h2:h2_z
0.006309573444801936,1.0000000016515527,0.9999999999990556,494.2670599042467,H1+H2,36136.315194813826,36136.120563755314,-0.19463105851336257,285,311,494.2670599042467,bayes_h1h2_marginal_boundary,measured_graph,5.965337243434238e-109,0.06343685677177031,0.020477940526298213,22,h1:h1_z;h2:h2_z
0.00794328234724282,1.0000000015254604,0.9999999999990993,551.8889340781607,H1+H2,36107.57164860096,36107.30962666836,-0.26202193260779433,285,311,551.8889340781607,bayes_h1h2_marginal_boundary,measured_graph,1.8331753368593536e-121,0.06523509209805255,0.02099885487115214,22,h1:h1_z;h2:h2_z
0.01,1.000000001391712,0.9999999999991347,602.5397681500617,H1+H2,36082.32362243911,36081.98420963241,-0.3394128067022262,285,311,602.5397681500617,bayes_h1h2_marginal_boundary,measured_graph,1.838718031792809e-132,0.06697209370644785,0.021423777014224665,22,h1:h1_z;h2:h2_z
