u,v,Q_dc_nL_s,Q_h1_real_nL_s,Q_h1_imag_nL_s,amp_h1_nL_s,phase_h1_rad,Q_h2_real_nL_s,Q_h2_imag_nL_s,amp_h2_nL_s,phase_h2_rad,measured_mean_Q_nL_s,measured_amp_h1_nL_s,measured_phase_h1_rad
496,512,0.0005128822777663153,-2.6953403415287255e-06,-2.7661458741684886e-05,2.779246587250954e-05,-1.6679299680340116,-2.2690087142689066e-06,-7.616135346196508e-06,7.946943950790898e-06,-1.8603449400536052,0.0004415900451340002,,
497,584,-0.0018599566778696932,2.6145692289039884e-05,8.262127721982492e-05,8.665952154673092e-05,1.2643148590789621,5.676713544173297e-06,1.779502669082072e-05,1.8678545221446516e-05,1.2619956551226716,0.009908593201562762,0.005453521031210131,-2.17522041447801
512,769,0.0008297622421509676,8.383281053417738e-06,-5.350646432940172e-05,5.4159220140749184e-05,-1.415381899275611,1.6401258856719273e-07,-1.6654705334818465e-05,1.6655512898702312e-05,-1.5609488222237093,0.0011645864774945118,,
512,587,-0.00031687996438465183,1.254323588600618e-07,1.757645160617339e-05,1.7576899167395945e-05,1.5636600610459783,3.3002299454637357e-07,4.87025443300289e-06,4.881423298497443e-06,1.503136772135872,0.002533717444185986,,
561,1899,-0.004240657692092797,4.900613960384853e-05,0.00019797403053960257,0.0002039493037177803,1.3281359695168182,1.750480868964357e-05,4.736464927320642e-05,5.049582485745604e-05,1.216789940489441,0.013172088567612164,0.002436087248604147,-2.6433059488063004
561,1846,-0.00010972556928682864,-6.055080153550338e-07,6.880009071987555e-06,6.906602984629292e-06,1.6585799139399462,-7.20293231524731e-08,1.996381932302896e-06,1.9976809162174145e-06,1.6068606145837443,0.0012289748182081964,,
584,587,0.00010483573225805668,-2.744864040772486e-06,-3.840094400248885e-06,4.7202334269767536e-06,-2.1913801629810887,-9.937948588951428e-07,-6.756174263779224e-07,1.2017017634970601e-06,-2.5445282140626855,0.0007585635568451311,,
584,616,-0.001964792410127763,5.228870829014413e-05,6.784451612084583e-05,8.565621625033118e-05,0.9141696178887844,1.1847863861035895e-05,9.195744577318278e-06,1.4997786383360677e-05,0.6600294567355536,0.014313620717771775,0.012411133798315752,-2.2742826566955827
587,631,-0.0002120442321265941,1.017797475342404e-05,3.7614290340986164e-06,1.0850784232482794e-05,0.3539977464554413,2.2582555662311e-06,-8.048874623523931e-07,2.39740735576285e-06,-0.3423827129987587,0.0025500895633720462,,
616,2020,-0.0015384390758403767,8.254913251215741e-05,1.9355239443574252e-05,8.4787879867513e-05,0.2303089995156016,1.7375311634749705e-05,-9.84778355688385e-06,1.9971987767568364e-05,-0.5156262705700092,,,
616,1846,-0.0004263533342873901,-3.5075566104319064e-06,2.715176254092015e-05,2.7377384141913543e-05,1.699268204213153,3.5739451914083906e-07,8.396770811946998e-06,8.404373320520511e-06,1.5282586729288723,0.0006838901045319598,,
