tile_id,n_observed_edges,n_boundary_nodes,n_interior_nodes,harmonics,D_mode,D_mean,D_median,D_ci95_low,D_ci95_high,W95_decades,posterior_mass_at_lower_boundary,posterior_mass_at_upper_boundary,prior_width_decades,prior_to_posterior_width_ratio,identified,cholesky_attempts,cholesky_jitter_uses,cholesky_failures,cholesky_max_jitter
22,284,39,203,H1,0.00015848931924611142,0.00016685213396048316,0.00011138938285045743,1.3225631365290655e-05,0.0005119718744706123,1.5878296898077167,0.009631753117466616,9.093813315713093e-12,3.9199999999999995,2.4687786260469187,True,560511,0,0,0.0
25,207,29,157,H1,0.000630957344480193,0.0012112061750077997,0.000396913279432733,1.5757033142371773e-05,0.006465662666611913,2.6131385939117875,0.006736517362580398,1.8837504346886075e-05,3.9199999999999995,1.500111784783631,True,560511,0,0,0.0
19,260,44,194,H1,0.00031622776601683794,0.00040683701795256886,0.0002528889379687914,2.0741405319560176e-05,0.001231768973960423,1.7736910824251193,0.004021637550474494,1.3165505444714623e-05,3.9199999999999995,2.2100804581146627,True,560511,0,0,0.0
24,235,34,187,H1,3.9810717055349695e-05,0.00023340154210814198,5.3638212508848006e-05,9.999999999999997e-06,0.001475142975682165,2.1688341155959163,0.03746238671075679,1.0552338885748006e-07,3.9199999999999995,1.8074226939771862,True,560511,0,0,0.0
28,182,37,144,H1,2.5118864315095822e-05,5.553259766166358e-05,2.6116703861211356e-05,9.999999999999997e-06,0.000242130212980225,1.3840489840386783,0.07650935789348919,2.1066051884242632e-14,3.9199999999999995,2.832269699415821,False,868068,341730,34173,0.0006667828532608922
23,247,50,182,H1,0.000630957344480193,0.0039445355376917166,0.0006531007401246191,1.7836292547758032e-05,0.02801522758823617,3.196089567952148,0.005323566533026237,0.0021119251412707444,3.9199999999999995,1.2264987938093634,True,560511,0,0,0.0
29,210,38,162,H1,0.0001,0.00010104912729732868,7.023061027789854e-05,1.0279260020585612e-05,0.0002826226706981827,1.4392451440666374,0.021779328247013778,1.3650482641594727e-21,3.9199999999999995,2.723649974544227,True,560511,0,0,0.0
27,291,38,208,H1,0.000630957344480193,0.0010088673504605665,0.0003927475406242697,1.5873353518580737e-05,0.0047280010591514475,2.474008876545129,0.006642046700937114,9.269396825884664e-06,3.9199999999999995,1.5844728922210454,True,560511,0,0,0.0
26,262,44,189,H1,0.006309573444801936,0.006192055850372201,0.0018425642789492397,2.3956640078263513e-05,0.03383714952383129,3.149967862362128,0.0034168761973795226,0.0027859585744588154,3.9199999999999995,1.2444571409247434,True,560511,0,0,0.0
30,254,41,189,H1,6.309573444801929e-05,0.00011593479563619247,5.5332412243938406e-05,9.999999999999997e-06,0.0004806835701722075,1.68185927813969,0.030584226507889327,6.931586887293657e-08,3.9199999999999995,2.330753857323857,True,560511,0,0,0.0
32,231,28,164,H1,0.0007943282347242822,0.0014619519241081663,0.0004637896116259584,1.6611126460144288e-05,0.007700586406992843,2.6661247138517936,0.006060005974390191,0.0001515281007275156,3.9199999999999995,1.4702988122174945,True,560511,0,0,0.0
31,261,30,188,H1,0.0002511886431509582,0.0005139896182226289,0.00019282586702119546,1.2715978708311932e-05,0.002452482712020635,2.2852561625862102,0.010879159640499117,1.7103525364914995e-05,3.9199999999999995,1.7153438044178644,True,560511,0,0,0.0
34,144,38,102,H1,3.9810717055349695e-05,6.727308691702149e-05,3.802125360818573e-05,9.999999999999997e-06,0.00024455323168560516,1.3883734062452264,0.04660198328419381,3.427915290093078e-13,3.9199999999999995,2.8234479156449757,True,560511,0,0,0.0
35,263,35,205,H1,0.00039810717055349735,0.0006104067103393657,0.00027159031358340826,1.554321323897725e-05,0.002586048039438861,2.2210957830639733,0.006823265473205706,1.4187924743437036e-05,3.9199999999999995,1.7648946208850163,True,560511,0,0,0.0
38,189,27,125,H1,0.000630957344480193,0.0009625829819931435,0.0003931838963034609,1.656846944426976e-05,0.004602941863261909,2.443753098457197,0.006080045714843322,6.0476137017083075e-06,3.9199999999999995,1.604090037768052,True,560511,0,0,0.0
37,228,27,162,H1,0.0005011872336272725,0.00112982246029527,0.00037338749662394724,1.5212300234838396e-05,0.0058661445888109785,2.5861578750733374,0.007196957022610872,1.3798795353560331e-05,3.9199999999999995,1.5157620645602843,True,560511,0,0,0.0
33,309,42,239,H1,3.9810717055349695e-05,6.978403763638933e-05,3.5331276067879e-05,9.999999999999997e-06,0.00027657891893919794,1.4418190747708133,0.0427324692282883,1.9175632029052725e-08,3.9199999999999995,2.7187877235034565,True,560511,0,0,0.0
36,254,40,182,H1,0.0001,0.000335854222568716,7.505411874343692e-05,1.1949484221321814e-05,0.0006959176031052448,1.765208661907766,0.012458925609091485,0.0002007238090479029,3.9199999999999995,2.2207006370359763,True,560511,0,0,0.0
39,227,36,169,H1,0.001584893192461114,0.003971342317162156,0.0008898498812733686,1.9887843394527697e-05,0.025780022151437813,3.112695594695672,0.004498114220198674,0.0017052102837211726,3.9199999999999995,1.2593586108066754,True,560511,0,0,0.0
43,158,19,123,H1,0.00031622776601683794,0.0010030596052277737,0.00024403666239822817,1.3618419058685299e-05,0.005504993916770685,2.606630149471235,0.00908022399187327,0.00028542083664581707,3.9199999999999995,1.5038573849056365,True,560511,0,0,0.0
41,169,35,133,H1,6.309573444801929e-05,0.00011093602564705803,6.284299520712982e-05,1.166691775471242e-05,0.0004066505442702046,1.5422652215628996,0.013048924868233195,1.7406351234001944e-08,3.9199999999999995,2.5417158768759323,True,560511,0,0,0.0
40,213,34,171,H1,3.1622776601683795e-05,6.934948213506297e-05,3.4112164431359656e-05,9.999999999999997e-06,0.00028114053410002135,1.4489234655536418,0.05028787785402915,1.6693076640598654e-08,3.9199999999999995,2.7054569086588334,False,560511,0,0,0.0
44,150,22,116,H1,0.0002511886431509582,0.0003760397322214164,0.00016873128110793983,1.2528288438078914e-05,0.0016575023529238743,2.121562410017919,0.011308260118903367,8.970869580611442e-07,3.9199999999999995,1.8476948787789327,True,560511,0,0,0.0
42,226,32,179,H1,0.0001,0.0001451054904933137,7.24076914329881e-05,1.0306629142686186e-05,0.0005926011259886158,1.759645822971599,0.021509802229075524,4.785541152560354e-09,3.9199999999999995,2.2277210270531067,True,560511,0,0,0.0
49,120,24,79,H1,0.001584893192461114,0.0034523654922852328,0.0009635451422834048,2.0340068028399898e-05,0.01876494459672657,2.964994885392449,0.004330616912251953,0.0001263398339032745,3.9199999999999995,1.3220933429978396,True,560511,0,0,0.0
48,181,26,131,H1,0.000630957344480193,0.0011828025170934108,0.000426520266894122,1.660684499635186e-05,0.005982584110228039,2.556601681051974,0.0060546223889074505,2.063485944816503e-05,3.9199999999999995,1.5332853878070765,True,560511,0,0,0.0
45,201,38,153,H1,5.011872336272725e-05,8.274132427414309e-05,4.4490444067694525e-05,9.999999999999997e-06,0.0003212752691205572,1.5068772960530732,0.027705719503574113,9.636312761621044e-11,3.9199999999999995,2.601406239424776,True,560511,0,0,0.0
50,211,30,152,H1,0.0007943282347242822,0.0012327902074648813,0.0004523595557536306,1.646285362273566e-05,0.005916482903283012,2.5555584971509764,0.006166514097939315,2.3404304559420494e-05,3.9199999999999995,1.53391127785576,True,560511,0,0,0.0
47,247,36,174,H1,0.0019952623149688807,0.004865326232277327,0.001113269682688058,2.0899510334529916e-05,0.031115791807153338,3.172844746083494,0.004145543212154747,0.002718021802887869,3.9199999999999995,1.2354843409337255,True,560511,0,0,0.0
53,88,27,63,H1,0.0005011872336272725,0.0005959536667394231,0.0002873450716230426,1.4502942818871808e-05,0.0024443517405846066,2.226707566082579,0.007892059943579758,8.484577219208535e-08,3.9199999999999995,1.7604467060290323,True,560511,0,0,0.0
52,115,35,76,H1,0.0005011872336272725,0.0006985780502055415,0.00030044736664526565,1.4585670083928183e-05,0.003129558830032946,2.331556733967236,0.007802488931693082,2.0607173803685258e-08,3.9199999999999995,1.6812801262313548,True,560511,0,0,0.0
46,234,44,174,H1,0.0002511886431509582,0.00040357735759285606,0.0002401993395683664,3.248028591451144e-05,0.0014187658067797188,1.6402908695798342,0.0017891707099690823,3.6943221054463553e-07,3.9199999999999995,2.3898200451509677,True,560511,0,0,0.0
51,192,31,139,H1,0.001,0.0011340563189618316,0.0005621222960982695,1.8877033518541955e-05,0.004760521776282944,2.4017208091448263,0.0048499902520188695,3.7646072725573075e-07,3.9199999999999995,1.6321630661957676,True,560511,0,0,0.0
