D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.001,0.005623413251903491,0.01333521432163324,1e-06,1e-06,mosaic_flow_free_boundary,0.0030106010209685783,1.9937755105752173e-06,1.92738102682216e-14,2.9021223190548335e-14,0.029021223190548336,2.9021223190548335e-14,0.029021223190548336,1510,0.001916559556156071,2.9021223190548335e-14,0.029021223190548336,2.9021223190548335e-14,0.029021223190548336,0.00223671256571381,2.9021223190548335e-14,0.029021223190548336,2.9021223190548335e-14,0.029021223190548336,H1+H2,interior,13.220015567246076,347,347,347,1735,225,ordinary_least_squares,False,26,constant_average_sigma,3.75,4.125
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.031581983734027506,1.879879984168304e-05,9.991715881197693e-14,2.909534348174265e-14,0.029095343481742652,2.909534348174265e-14,0.029095343481742652,1680,0.007144520160522064,2.909534348174265e-14,0.029095343481742652,2.909534348174265e-14,0.029095343481742652,0.005798795508918357,2.909534348174265e-14,0.029095343481742652,2.909534348174265e-14,0.029095343481742652,H1+H2,interior,65.41862334502763,373,373,373,1865,185,ordinary_least_squares,False,27,constant_average_sigma,3.375,3.625
0.001333521432163324,0.0023713737056616554,0.0031622776601683794,1.333521432163324e-05,1e-06,mosaic_flow_free_boundary,0.2676052917483304,0.00022487839642716843,1.8888692426158556e-13,2.980963575034911e-14,0.02980963575034911,2.980963575034911e-14,0.02980963575034911,1190,0.026197953892455834,2.980963575034911e-14,0.02980963575034911,2.980963575034911e-14,0.02980963575034911,0.01745846276244732,2.980963575034911e-14,0.02980963575034911,2.980963575034911e-14,0.02980963575034911,H1+H2,interior,477.5285405947071,270,270,270,1350,160,ordinary_least_squares,False,28,constant_average_sigma,2.25,3.5
0.001,0.0017782794100389228,0.0031622776601683794,1e-06,1e-06,mosaic_flow_free_boundary,0.09261396534042393,6.784905885745342e-05,9.77620911562083e-14,2.9275472096691095e-14,0.029275472096691096,2.9275472096691095e-14,0.029275472096691096,1365,0.013726361252004894,2.9275472096691095e-14,0.029275472096691096,2.9275472096691095e-14,0.029275472096691096,0.01087454671169497,2.9275472096691095e-14,0.029275472096691096,2.9275472096691095e-14,0.029275472096691096,H1+H2,interior,145.16347194945672,302,302,302,1510,145,ordinary_least_squares,False,29,constant_average_sigma,3.25,3.5
0.001,0.004216965034285823,0.007498942093324558,1e-06,1e-06,mosaic_flow_free_boundary,0.016687946556102756,1.1352344595988269e-05,3.433408731199597e-14,2.903162571639383e-14,0.029031625716393828,2.903162571639383e-14,0.029031625716393828,1470,0.005438100501370849,2.903162571639383e-14,0.029031625716393828,2.903162571639383e-14,0.029031625716393828,0.004532219826853098,2.903162571639383e-14,0.029031625716393828,2.903162571639383e-14,0.029031625716393828,H1+H2,interior,27.989883303232695,333,333,333,1665,195,ordinary_least_squares,False,30,constant_average_sigma,3.625,3.875
0.001,0.023713737056616554,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.0017000107114508998,1.1971906418668308e-06,1.480228011751561e-14,2.90042965067151e-14,0.029004296506715103,2.90042965067151e-14,0.029004296506715103,1420,0.0018587562994341615,2.90042965067151e-14,0.029004296506715103,2.90042965067151e-14,0.029004296506715103,0.001405833967919055,2.90042965067151e-14,0.029004296506715103,2.90042965067151e-14,0.029004296506715103,H1+H2,periphery,1.8956749471901202,313,313,313,1565,145,ordinary_least_squares,False,31,constant_average_sigma,4.375,5.0
0.001,0.05623413251903491,0.1,1e-06,1e-06,mosaic_flow_free_boundary,0.0005620918908400734,4.408563849726066e-07,1.2954889156216186e-14,2.900254781112213e-14,0.029002547811122128,2.900254781112213e-14,0.029002547811122128,1275,0.0012326541526788714,2.900254781112213e-14,0.029002547811122128,2.900254781112213e-14,0.029002547811122128,0.0007088561322910842,2.900254781112213e-14,0.029002547811122128,2.900254781112213e-14,0.029002547811122128,H1+H2,periphery,1.1838688431784499,278,278,278,1390,115,ordinary_least_squares,False,32,constant_average_sigma,4.75,5.0
0.001,0.004216965034285823,0.01333521432163324,1e-06,1e-06,mosaic_flow_free_boundary,0.0036413469547770423,1.9420517092144226e-06,3.4381913485281326e-14,2.9001510905184664e-14,0.029001510905184665,2.9001510905184664e-14,0.029001510905184665,1875,0.0024951517724679344,2.9001510905184664e-14,0.029001510905184665,2.9001510905184664e-14,0.029001510905184665,0.0016163039306925145,2.9001510905184664e-14,0.029001510905184665,2.9001510905184664e-14,0.029001510905184665,H1+H2,interior,8.573833861039414,412,412,412,2060,185,ordinary_least_squares,False,33,constant_average_sigma,3.625,4.125
0.001,0.004216965034285823,0.01,1e-06,1e-06,mosaic_flow_free_boundary,0.008765330050648201,9.960602330282047e-06,3.1286353147430775e-14,2.9008652702516233e-14,0.029008652702516232,2.9008652702516233e-14,0.029008652702516232,880,0.005476583202133476,2.9008652702516233e-14,0.029008652702516232,2.9008652702516233e-14,0.029008652702516232,0.0037193664357455343,2.9008652702516233e-14,0.029008652702516232,2.9008652702516233e-14,0.029008652702516232,H1+H2,interior,9.114000768379096,200,200,200,1000,120,ordinary_least_squares,False,34,constant_average_sigma,3.625,4.0
0.001,0.0023713737056616554,0.004216965034285823,1e-06,1e-06,mosaic_flow_free_boundary,0.04643269070809464,2.8750892079315566e-05,1.2438562555946847e-13,2.911281434928657e-14,0.02911281434928657,2.911281434928657e-14,0.02911281434928657,1615,0.009934530279736354,2.911281434928657e-14,0.02911281434928657,2.911281434928657e-14,0.02911281434928657,0.005730835503312657,2.911281434928657e-14,0.02911281434928657,2.911281434928657e-14,0.02911281434928657,H1+H2,interior,66.90388803067665,353,353,353,1765,150,ordinary_least_squares,False,35,constant_average_sigma,3.375,3.625
