D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dof,h1_resid_rms,h2_resid_rms,harmonics,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,profile_flat,tile_id,width_decades_dchi1,width_decades_dchi384
1e-06,0.00046415888336127773,0.0014677992676220691,1e-06,1e-06,h1_single_global_ac_pressure,4961.226161540716,6.740796415136843,0.8700053735839636,736,4.52142517957522,nan,H1,40.8620783555416,311,231,0,773,37,False,22,2.6666666666666665,3.1666666666666665
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1h2_free_boundary,2371.2380536407245,1.9629454086429838,0.8700053735839636,1208,3.0094305885315253,0.363586589087324,H1+H2,1131.085636066688,311,231,305,1383,175,False,22,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1h2_fixed_boundary_phase,2371.238053640724,1.8554288369645728,0.8700053735839636,1278,3.009430588531525,0.36358658908732405,H1+H2,1502.4710378269401,311,231,305,1383,105,False,22,0.0,0.0
0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,0.004641588833612777,h1h2_fixed_boundary_complex,2371.2380536407245,1.7590786748076592,0.8700053735839636,1348,3.0094305885315253,0.363586589087324,H1+H2,9110.785208937094,311,231,305,1383,35,False,22,0.0,0.0
1e-06,0.00046415888336127773,0.0014677992676220691,1e-06,1e-06,h1h2_single_global_ac_pressure,5032.223892426853,3.744214205674742,0.8700053735839636,1344,4.52142517957522,0.48247222254583605,H1+H2,42.04338166016714,311,231,305,1383,39,False,22,2.6666666666666665,3.1666666666666665
1e-06,0.1,0.1,1e-06,1e-06,dc_only,159.68596371004483,0.6737804375951258,0.7517450506685921,237,nan,nan,DC,0.0,281,0,0,281,44,True,23,5.0,5.0
1e-06,0.0001467799267622069,0.00046415888336127773,1e-06,1e-06,h1_free_boundary,709.5063464331741,1.0865334554872499,0.7517450506685921,653,1.4771008481373145,nan,H1,577.1761714973217,281,252,0,785,132,False,23,2.1666666666666665,2.6666666666666665
1e-06,1.4677992676220705e-06,2.1544346900318822e-06,1e-06,1e-06,h1_fixed_boundary_phase,709.5063464331419,1.0179431082254546,0.7517450506685921,697,1.4771008481372712,nan,H1,906.4593926944457,281,252,0,785,88,False,23,0.16666666666666696,0.3333333333333331
1e-06,1.4677992676220705e-06,2.1544346900318822e-06,1e-06,1e-06,h1_fixed_boundary_complex,709.5063464331741,0.9574984432296547,0.7517450506685921,741,1.4771008481373145,nan,H1,762289163.1782188,281,252,0,785,44,False,23,0.16666666666666696,0.3333333333333331
0.1,0.1,0.1,0.1,1e-06,h1_single_global_ac_pressure,1758.364304627804,2.3793833621485843,0.7517450506685921,739,2.518722229684839,nan,H1,4.3973345751367106,281,252,0,785,46,False,23,0.0,5.0
1e-06,0.0001,0.00046415888336127773,1e-06,1e-06,h1h2_free_boundary,718.1754693012047,0.6558680084942509,0.7517450506685921,1095,1.4771008481373145,0.18086921020481977,H1+H2,580.5787830055974,281,252,265,1315,220,False,23,2.0,2.6666666666666665
