D,chi2,delta_chi2,objective,observation_source,tile_id,weight_mode
4.216965034285822e-06,1349.4769213219367,7.712197682689748,weighted_least_squares,measured_graph,3,sigma
5.623413251903491e-06,1349.4573073856254,7.692583746378432,weighted_least_squares,measured_graph,3,sigma
7.498942093324558e-06,1349.4311898868475,7.6664662476005105,weighted_least_squares,measured_graph,3,sigma
1e-05,1349.3964293714187,7.6317057321716675,weighted_least_squares,measured_graph,3,sigma
1.333521432163324e-05,1349.3501959412647,7.585472302017706,weighted_least_squares,measured_graph,3,sigma
1.778279410038923e-05,1349.288756918738,7.52403327949105,weighted_least_squares,measured_graph,3,sigma
2.3713737056616554e-05,1349.2072077279033,7.442484088656329,weighted_least_squares,measured_graph,3,sigma
3.1622776601683795e-05,1349.0991379385785,7.334414299331456,weighted_least_squares,measured_graph,3,sigma
4.216965034285822e-05,1348.9562302696309,7.191506630383856,weighted_least_squares,measured_graph,3,sigma
5.623413251903491e-05,1348.7678048353835,7.003081196136463,weighted_least_squares,measured_graph,3,sigma
7.498942093324559e-05,1348.5203520001762,6.755628360929222,weighted_least_squares,measured_graph,3,sigma
0.0001,1348.1971600061513,6.432436366904312,weighted_least_squares,measured_graph,3,sigma
0.0001333521432163324,1347.7782649798949,6.013541340647862,weighted_least_squares,measured_graph,3,sigma
0.00017782794100389227,1347.241180459257,5.476456820010071,weighted_least_squares,measured_graph,3,sigma
0.00023713737056616554,1346.5632898110448,4.798566171797802,weighted_least_squares,measured_graph,3,sigma
0.00031622776601683794,1345.727566395915,3.9628427566678965,weighted_least_squares,measured_graph,3,sigma
0.00042169650342858224,1344.7347018087155,2.9699781694685043,weighted_least_squares,measured_graph,3,sigma
0.0005623413251903491,1343.6272503530924,1.8625267138454547,weighted_least_squares,measured_graph,3,sigma
0.0007498942093324559,1342.5358149284,0.7710912891529915,weighted_least_squares,measured_graph,3,sigma
0.001,1341.764723639247,0.0,weighted_least_squares,measured_graph,3,sigma
0.001333521432163324,1341.9461848780143,0.1814612387672696,weighted_least_squares,measured_graph,3,sigma
