D_hat,D_hi_dchi1,D_hi_dchi384,D_lo_dchi1,D_lo_dchi384,ablation,chi2_min,chi2_red,dc_resid_std,dc_sigma_max,dc_sigma_max_nL_s,dc_sigma_min,dc_sigma_min_nL_s,dof,h1_resid_rms,h1_sigma_max,h1_sigma_max_nL_s,h1_sigma_min,h1_sigma_min_nL_s,h2_resid_rms,h2_sigma_max,h2_sigma_max_nL_s,h2_sigma_min,h2_sigma_min_nL_s,harmonics,location,max_delta_chi2,n_dc,n_h1,n_h2,n_obs,n_params,objective,observation_source,profile_flat,tile_id,weight_mode,width_decades_dchi1,width_decades_dchi384
0.005623413251903491,0.005623413251903491,0.005623413251903491,0.005623413251903491,0.004216965034285823,measured_flow_free_boundary,47431.13315094502,66.8986363200917,11.223213357278391,4.3909074463163135e-14,0.04390907446316313,4.3909074463163135e-14,0.04390907446316313,709,11.646627003666131,4.3909074463163135e-14,0.04390907446316313,4.3909074463163135e-14,0.04390907446316313,0.6588185526046775,4.3909074463163135e-14,0.04390907446316313,4.3909074463163135e-14,0.04390907446316313,H1+H2,interior,880.9386575785829,213,149,194,899,190,ordinary_least_squares,measured_graph,False,21,constant_average_sigma,0.0,0.12499999999999999
0.004216965034285823,0.005623413251903491,0.007498942093324558,0.004216965034285823,0.0023713737056616554,measured_flow_free_boundary,1818.661645457569,1.5055146071668617,2.208985080505905,3.4117871196975945e-14,0.034117871196975944,3.4117871196975945e-14,0.034117871196975944,1208,1.058755854243227,3.4117871196975945e-14,0.034117871196975944,3.4117871196975945e-14,0.034117871196975944,0.3194627542803808,3.4117871196975945e-14,0.034117871196975944,3.4117871196975945e-14,0.034117871196975944,H1+H2,interior,143.7196013576363,311,231,305,1383,175,ordinary_least_squares,measured_graph,False,22,constant_average_sigma,0.12499999999999999,0.49999999999999994
1e-06,0.0007498942093324559,0.0023713737056616554,1e-06,1e-06,measured_flow_free_boundary,1217.0294529832038,1.1114424228157112,2.0116304465062496,3.304660665460793e-14,0.03304660665460793,3.304660665460793e-14,0.03304660665460793,1095,0.5363700534492213,3.304660665460793e-14,0.03304660665460793,3.304660665460793e-14,0.03304660665460793,0.16419465886032128,3.304660665460793e-14,0.03304660665460793,3.304660665460793e-14,0.03304660665460793,H1+H2,interior,78.90984194604926,281,252,265,1315,220,ordinary_least_squares,measured_graph,False,23,constant_average_sigma,2.875,3.375
0.004216965034285823,0.007498942093324558,0.01333521432163324,1e-06,1e-06,measured_flow_free_boundary,1357.8784336548697,1.2167369477194172,2.175154569840692,3.3479839822924087e-14,0.03347983982292409,3.3479839822924087e-14,0.03347983982292409,1116,0.4432732704646119,3.3479839822924087e-14,0.03347983982292409,3.3479839822924087e-14,0.03347983982292409,0.13839190745724989,3.3479839822924087e-14,0.03347983982292409,3.3479839822924087e-14,0.03347983982292409,H1+H2,periphery,30.582379766185113,272,248,249,1266,150,ordinary_least_squares,measured_graph,False,24,constant_average_sigma,3.875,4.125
0.01333521432163324,0.01778279410038923,0.023713737056616554,0.01,0.007498942093324558,measured_flow_free_boundary,1750.068200906361,1.849966385736111,2.6224971056309405,3.423652443172723e-14,0.03423652443172723,3.423652443172723e-14,0.03423652443172723,946,0.8732472634415701,3.423652443172723e-14,0.03423652443172723,3.423652443172723e-14,0.03423652443172723,0.17185559012194662,3.423652443172723e-14,0.03423652443172723,3.423652443172723e-14,0.03423652443172723,H1+H2,periphery,23.653335882387637,230,212,221,1096,150,ordinary_least_squares,measured_graph,False,25,constant_average_sigma,0.25000000000000006,0.5
0.0017782794100389228,0.004216965034285823,0.005623413251903491,1e-06,1e-06,measured_flow_free_boundary,1109.1555488747535,0.951248326650732,1.8025709690236884,3.3166744756644544e-14,0.033166744756644544,3.3166744756644544e-14,0.033166744756644544,1166,0.7047668101411164,3.3166744756644544e-14,0.033166744756644544,3.3166744756644544e-14,0.033166744756644544,0.2516220505983313,3.3166744756644544e-14,0.033166744756644544,3.3166744756644544e-14,0.033166744756644544,H1+H2,interior,85.19926808134755,295,257,291,1391,225,ordinary_least_squares,measured_graph,False,26,constant_average_sigma,3.625,3.75
0.1,0.1,0.1,0.1,0.07498942093324558,measured_flow_free_boundary,4845.506785511999,3.842590630858048,3.1728280124204002,3.757829694345744e-14,0.03757829694345744,3.757829694345744e-14,0.03757829694345744,1261,2.4123085936271975,3.757829694345744e-14,0.03757829694345744,3.757829694345744e-14,0.03757829694345744,0.7683617981574369,3.757829694345744e-14,0.03757829694345744,3.757829694345744e-14,0.03757829694345744,H1+H2,interior,38.032868536446585,318,250,314,1446,185,ordinary_least_squares,measured_graph,False,27,constant_average_sigma,0.0,0.12500000000000006
1e-06,1.778279410038923e-05,7.498942093324559e-05,1e-06,1e-06,measured_flow_free_boundary,43288.43627507932,59.5439288515534,11.180008067778513,4.6710791078258536e-14,0.04671079107825853,4.6710791078258536e-14,0.04671079107825853,727,10.619606532085829,4.6710791078258536e-14,0.04671079107825853,4.6710791078258536e-14,0.04671079107825853,0.8098745147018094,4.6710791078258536e-14,0.04671079107825853,4.6710791078258536e-14,0.04671079107825853,H1+H2,interior,3132.1730024429417,209,147,192,887,160,ordinary_least_squares,measured_graph,False,28,constant_average_sigma,1.25,1.875
1e-06,1.333521432163324e-05,4.216965034285822e-05,1e-06,1e-06,measured_flow_free_boundary,45240.973940938704,47.12601452181115,10.781129078710386,4.272982854527287e-14,0.04272982854527287,4.272982854527287e-14,0.04272982854527287,960,8.974510099409367,4.272982854527287e-14,0.04272982854527287,4.272982854527287e-14,0.04272982854527287,0.8533597667274971,4.272982854527287e-14,0.04272982854527287,4.272982854527287e-14,0.04272982854527287,H1+H2,interior,2867.7345412604263,247,202,227,1105,145,ordinary_least_squares,measured_graph,False,29,constant_average_sigma,1.125,1.625
0.0017782794100389228,0.0017782794100389228,0.0023713737056616554,0.001333521432163324,0.0005623413251903491,measured_flow_free_boundary,8094.989138695891,7.6224003189226845,4.083932680620027,3.634109020244402e-14,0.03634109020244402,3.634109020244402e-14,0.03634109020244402,1062,3.843925660951793,3.634109020244402e-14,0.03634109020244402,3.634109020244402e-14,0.03634109020244402,0.7973235452167788,3.634109020244402e-14,0.03634109020244402,3.634109020244402e-14,0.03634109020244402,H1+H2,interior,2661.547253901713,275,226,265,1257,195,ordinary_least_squares,measured_graph,False,30,constant_average_sigma,0.12499999999999999,0.625
