ablation,D,chi2,delta_chi2
mosaic_flow_fixed_mosaic_pressure,4.959344196412829e-06,5.067735369954842,4.917443141757036
mosaic_flow_fixed_mosaic_pressure,6.476319900517853e-06,5.056065675118068,4.9057734469202625
mosaic_flow_fixed_mosaic_pressure,8.457311651040738e-06,5.040847245432139,4.890555017234333
mosaic_flow_fixed_mosaic_pressure,1.1044253752367952e-05,5.021009269594195,4.870717041396389
mosaic_flow_fixed_mosaic_pressure,1.4422495703074076e-05,4.9951637511558715,4.844871522958066
mosaic_flow_fixed_mosaic_pressure,1.883408213620521e-05,4.961515792477674,4.811223564279868
mosaic_flow_fixed_mosaic_pressure,2.4595094858493616e-05,4.917751588877924,4.767459360680118
mosaic_flow_fixed_mosaic_pressure,3.211829951274613e-05,4.860900949518208,4.710608721320402
mosaic_flow_fixed_mosaic_pressure,4.194271945384357e-05,4.78717275148339,4.636880523285584
mosaic_flow_fixed_mosaic_pressure,5.477225575051662e-05,4.691765618432866,4.54147339023506
mosaic_flow_fixed_mosaic_pressure,7.15261203628294e-05,4.568664272783234,4.418372044585428
mosaic_flow_fixed_mosaic_pressure,9.340469593695185e-05,4.410447923595215,4.260155695397409
mosaic_flow_fixed_mosaic_pressure,0.00012197554094669347,4.20816680516474,4.057874576966934
mosaic_flow_fixed_mosaic_pressure,0.00015928570228718652,3.951397136752283,3.801104908554477
mosaic_flow_fixed_mosaic_pressure,0.00020800838230519039,3.6286815925926517,3.478389364394846
mosaic_flow_fixed_mosaic_pressure,0.00027163446868076383,3.228733314479247,3.0784410862814413
mosaic_flow_fixed_mosaic_pressure,0.0003547226499133238,2.7430806322143604,2.5927884040165545
mosaic_flow_fixed_mosaic_pressure,0.0004632260367126272,2.1713496939046855,2.0210574657068796
mosaic_flow_fixed_mosaic_pressure,0.0006049186910983003,1.5312818351758177,1.3809896069780119
mosaic_flow_fixed_mosaic_pressure,0.0007899526232095012,0.8771327915149788,0.726840563317173
mosaic_flow_fixed_mosaic_pressure,0.0010315851635904682,0.3327636065711863,0.18247137837338043
mosaic_flow_fixed_mosaic_pressure,0.00134712882579763,0.15029222819780588,0.0
mosaic_flow_fixed_mosaic_pressure,0.0017591917151838243,0.8129529447739768,0.662660716576171
mosaic_flow_fixed_mosaic_pressure,0.0022972973567980865,3.2140167017018353,3.0637244735040294
mosaic_flow_fixed_mosaic_pressure,0.003000000000000001,8.96588107628377,8.815588848085964
