parent_step2_run_name,representative_label,constraint_left,constraint_right,delta_pearson,delta_spearman,delta_rmse,delta_mae,conductance_ratio_pearson,hotspot_jaccard_top5,hotspot_jaccard_top10
q_100__k_0p1__delta_10,F1,equal_av,fixed_drop_10pa,0.7321011787216882,0.814031288132308,0.37309213319605544,0.3473786125514455,0.7332994071358689,0.23846153846153847,0.39544962080173346
q_100__k_0p1__delta_10,F1,equal_av,gauge_only,0.6422857730630539,0.7698847077772238,0.2936134518701486,0.26150324333582065,0.6006001656408424,0.35294117647058826,0.49074074074074076
q_100__k_0p1__delta_10,F1,equal_drop,fixed_drop_10pa,0.7021100341699128,0.859655427970766,0.39051298502792137,0.2528530037406966,0.6579107982573447,0.3388773388773389,0.3984799131378936
q_100__k_0p1__delta_10,F1,equal_drop,gauge_only,0.9481046292077597,0.9702901716213042,0.1211502665530783,0.06772437308122065,0.9467720833204486,0.6683937823834197,0.7452574525745257
q_100__k_0p1__delta_10,F1,fixed_drop_10pa,gauge_only,0.6819425522449483,0.8602150226039319,0.4146172627266037,0.28683705114996116,0.6429631040449183,0.27524752475247527,0.3775401069518717
q_100__k_100__delta_10,B4,equal_av,equal_drop,0.9984109732054425,0.9919187298563275,0.024315655691321946,0.014271184835868957,0.9986252255900743,0.06622516556291391,0.23018147086914995
q_100__k_100__delta_10,B4,equal_av,fixed_drop_10pa,0.9855184926083151,0.9781738299669022,0.07851032399522216,0.03414462091421143,0.9871447258869956,0.02711323763955343,0.2867132867132867
q_100__k_100__delta_10,B4,equal_av,gauge_only,0.9446320019766129,0.907167463514201,0.14332765363062647,0.09387625877748233,0.9491191844737423,0.009404388714733543,0.03205128205128205
q_100__k_100__delta_10,B4,equal_drop,fixed_drop_10pa,0.9817235243788113,0.9840335559608446,0.08820108155096787,0.038296464452883816,0.9847527393465717,0.04038772213247173,0.18928901200369344
q_100__k_100__delta_10,B4,equal_drop,gauge_only,0.9442840696284716,0.8998576261169624,0.1427325811807097,0.08994375024895705,0.9480119587791292,0.003115264797507788,0.045454545454545456
q_100__k_100__delta_10,B4,fixed_drop_10pa,gauge_only,0.9203030135654515,0.8777652485522882,0.17595881837397861,0.11211674827584046,0.9253660230325965,0.0046801872074883,0.026294820717131476
q_10__k_0p1__delta_1,F4,equal_av,equal_drop,0.2202483360939104,0.43584398934911606,0.6246091621244698,0.49615678095643617,0.19537611829981383,0.003115264797507788,0.023034154090548053
q_10__k_0p1__delta_1,F4,equal_av,fixed_drop_10pa,0.13148482452026392,0.318121984079232,0.5948575056649247,0.4842500196989358,0.08894446692995008,0.003115264797507788,0.020602218700475437
q_10__k_0p1__delta_1,F4,equal_av,gauge_only,0.14172079258362041,0.5648755434340034,0.7296034137800198,0.5734709443962444,0.13165683244090037,0.0015552099533437014,0.014972419227738377
q_10__k_0p1__delta_1,F4,equal_drop,fixed_drop_10pa,0.8026704975024218,0.6470052875980049,0.23065418114171815,0.1578849693711732,0.8103945142878082,0.6470588235294118,0.638676844783715
q_10__k_0p1__delta_1,F4,equal_drop,gauge_only,0.8611213637182915,0.6402205248081633,0.21105612900986892,0.13608851006323727,0.8812692193220732,0.6770833333333334,0.5135135135135135
q_10__k_0p1__delta_1,F4,fixed_drop_10pa,gauge_only,0.7234595879161264,0.6625087337347393,0.3392882416545259,0.24031905539425014,0.7306571090523106,0.6683937823834197,0.4636363636363636
q_1__k_0p1__delta_1,B3,equal_av,equal_drop,0.990381032666724,0.9734152308326411,0.054957468247121145,0.0316973148681126,0.9914293283260368,0.048859934853420196,0.19925512104283055
q_1__k_0p1__delta_1,B3,equal_av,fixed_drop_10pa,0.9407572303292258,0.9575150727696595,0.1424095567566611,0.09808507092906779,0.9459873401309801,0.0,0.0
q_1__k_0p1__delta_1,B3,equal_av,gauge_only,0.510716437608878,0.5403185374703829,0.36776608440917014,0.2649377323502166,0.4924758141229409,0.11418685121107267,0.18056828597616864
q_1__k_0p1__delta_1,B3,equal_drop,fixed_drop_10pa,0.9516634253299463,0.9512536601321627,0.12598346617545952,0.08554976005025264,0.9578016513810967,0.033707865168539325,0.09245122985581
q_1__k_0p1__delta_1,B3,equal_drop,gauge_only,0.5170894454490155,0.5245757110804334,0.35993719527833806,0.25880989459360465,0.4939569105134822,0.02875399361022364,0.07333333333333333
q_1__k_0p1__delta_1,B3,fixed_drop_10pa,gauge_only,0.4934922463121695,0.5557886901625889,0.33794772531827827,0.2504089882190606,0.48420779678736225,0.0,0.0
q_1__k_0p1__delta_10,C2,equal_av,equal_drop,0.9486306739669095,0.9023417022339654,0.13479377190792463,0.08750147770994247,0.9648622375815865,0.0015552099533437014,0.01019607843137255
q_1__k_0p1__delta_10,C2,equal_av,fixed_drop_10pa,0.9575555894953691,0.8236083786926721,0.13978839228676287,0.09239201364680558,0.9654297190773417,0.0627062706270627,0.13280562884784522
q_1__k_0p1__delta_10,C2,equal_av,gauge_only,0.67645126802437,0.7242360513781508,0.3288261882586849,0.280687956409771,0.6717964127429696,0.0,0.0
q_1__k_0p1__delta_10,C2,equal_drop,fixed_drop_10pa,0.9469826471271763,0.9141944008993225,0.14198499358563788,0.10507379171510853,0.9452195222566508,0.0015552099533437014,0.01818181818181818
q_1__k_0p1__delta_10,C2,equal_drop,gauge_only,0.7024255868633745,0.7640346669694278,0.2821453962871485,0.24154122198634254,0.699648702006117,0.29577464788732394,0.3702127659574468
q_1__k_0p1__delta_10,C2,fixed_drop_10pa,gauge_only,0.6648428263848465,0.6927816917750069,0.3171661730063238,0.2539419732096311,0.6480975323852791,0.0,0.0
q_1__k_100__delta_10,K4,equal_av,equal_drop,0.9695776672225261,0.9666904412839576,0.10345171929086658,0.05273614411481926,0.9693855172840125,0.02384737678855326,0.1773308957952468
q_1__k_100__delta_10,K4,equal_av,fixed_drop_10pa,0.9810128894780842,0.9885317563467486,0.08290164482437627,0.029141746159116598,0.9807253634178177,0.3444676409185804,0.6180904522613065
q_1__k_100__delta_10,K4,equal_av,gauge_only,0.9909222968472235,0.9887285687211338,0.060235199996543316,0.029586337749023525,0.9912749171081908,0.19038817005545286,0.3879310344827586
q_1__k_100__delta_10,K4,equal_drop,fixed_drop_10pa,0.9865206399560333,0.9740609072574341,0.07029055870865965,0.04201769579269799,0.986200867809002,0.17304189435336975,0.2529182879377432
q_1__k_100__delta_10,K4,equal_drop,gauge_only,0.9822501073439026,0.9672358153061968,0.08363028277184202,0.04709066388187372,0.9832931159610286,0.20149253731343283,0.2664700098328417
q_1__k_100__delta_10,K4,fixed_drop_10pa,gauge_only,0.994138732963306,0.9865506615672079,0.04860558170604419,0.023440993600324728,0.9940518240646571,0.21052631578947367,0.40305010893246185
q_1__k_10__delta_100,C4,equal_av,equal_drop,0.998337802634434,0.9815394056969755,0.028685386553058596,0.0157975020557992,0.9986250431489873,0.12390924956369982,0.18928901200369344
q_1__k_10__delta_100,C4,equal_av,fixed_drop_10pa,0.994339865771984,0.9955648879727557,0.04887555249986957,0.023358828642906813,0.9947638178233781,0.1970260223048327,0.26522593320235754
q_1__k_10__delta_100,C4,equal_av,gauge_only,0.9972547172985243,0.9943373044551154,0.032727580934919245,0.01716571718446659,0.9967264887723826,0.1881918819188192,0.29577464788732394
q_1__k_10__delta_100,C4,equal_drop,fixed_drop_10pa,0.9924704400115303,0.9780027981197017,0.059464227537713854,0.030267328865639043,0.9931206111598648,0.1258741258741259,0.28928928928928926
q_1__k_10__delta_100,C4,equal_drop,gauge_only,0.9953028925792705,0.9700691546519711,0.044176158799244185,0.023436908994964856,0.9950766759958968,0.048859934853420196,0.20261437908496732
q_1__k_10__delta_100,C4,fixed_drop_10pa,gauge_only,0.9919892154007488,0.990746555650354,0.05595493543561204,0.0209585497448894,0.9926368193833649,0.30628803245436104,0.5881627620221949
q_1__k_1__delta_10,C1,equal_av,equal_drop,0.996009672095269,0.984117753568967,0.042875276929000165,0.03320532765370853,0.9971589824440337,0.2602739726027397,0.44881889763779526
q_1__k_1__delta_10,C1,equal_av,fixed_drop_10pa,0.9914163649959549,0.970166905791538,0.05656990638651508,0.027421003564977835,0.9933979239194889,0.0,0.0023346303501945525
q_1__k_1__delta_10,C1,equal_av,gauge_only,0.994970698127513,0.9797561871037207,0.04473495795064485,0.022711375457243575,0.9963311998877639,0.0,0.0023346303501945525
q_1__k_1__delta_10,C1,equal_drop,fixed_drop_10pa,0.9917700348774019,0.9865250562765812,0.0584579455207034,0.036253585371808575,0.9928895099302797,0.0,0.0
q_1__k_1__delta_10,C1,equal_drop,gauge_only,0.996240384424618,0.9808335317682058,0.05012543238184376,0.040846074864141546,0.9968870863729884,0.0,0.0
q_1__k_1__delta_10,C1,fixed_drop_10pa,gauge_only,0.9899120657767987,0.9791394573198835,0.06198269767697065,0.02674052010215818,0.9908884786558553,0.4375,0.7173333333333334
