model_family,model_key,representative_label,constraint_left,constraint_right,pressure_pearson_aligned,pressure_spearman_aligned,pressure_rmse_aligned_pa,pressure_mae_aligned_pa
gnn,q_100__k_0p1__delta_1,F3,equal_drop,fixed_drop_10pa,0.8422293175510958,0.8044382296442334,1.7623455192774335,1.5922559353658492
gnn,q_100__k_0p1__delta_1,F3,equal_drop,gauge_only,0.9955371020351299,0.9902576013177433,0.343579491029666,0.27937701255885505
gnn,q_100__k_0p1__delta_1,F3,fixed_drop_10pa,gauge_only,0.8799037221565584,0.8587846029464363,1.5738158801067081,1.4600361899586503
gnn,q_100__k_0p1__delta_10,F1,equal_av,equal_drop,0.8870318997675456,0.8963345145212662,2.0763978808989254,1.743015754255974
gnn,q_100__k_0p1__delta_10,F1,equal_av,fixed_drop_10pa,0.8879731661802287,0.8839769472526212,2.064404813960233,1.7345153308201215
gnn,q_100__k_0p1__delta_10,F1,equal_av,gauge_only,0.8954284574518726,0.9053024799030945,1.955356038603524,1.534002028625096
gnn,q_100__k_0p1__delta_10,F1,equal_drop,fixed_drop_10pa,0.8316558378694979,0.7763132971689061,1.8606976461622835,1.4280647762979095
gnn,q_100__k_0p1__delta_10,F1,equal_drop,gauge_only,0.9955434306142992,0.9943772845198782,0.32414436264491986,0.29684473142165385
gnn,q_100__k_0p1__delta_10,F1,fixed_drop_10pa,gauge_only,0.8656356984397592,0.8099224049261697,1.7269994579856713,1.3954379606705922
gnn,q_100__k_100__delta_10,B4,equal_av,equal_drop,0.9350079209179802,0.922949955351184,1.1578958648283506,0.853458844915697
gnn,q_100__k_100__delta_10,B4,equal_av,fixed_drop_10pa,0.9276722698568135,0.9403370660189108,1.3505119469056344,0.9687314961643565
gnn,q_100__k_100__delta_10,B4,equal_av,gauge_only,0.8897920190395461,0.8442152281895429,1.4343470280001354,1.0642392674162493
gnn,q_100__k_100__delta_10,B4,equal_drop,fixed_drop_10pa,0.890128201503762,0.8751280640934039,1.3905188860346254,1.217371924458248
gnn,q_100__k_100__delta_10,B4,equal_drop,gauge_only,0.987267586972993,0.9678929860754861,0.5311282673593996,0.48442959280615305
gnn,q_100__k_100__delta_10,B4,fixed_drop_10pa,gauge_only,0.8084267020899684,0.7591308405569815,1.9061870929699782,1.6970258837042598
gnn,q_10__k_0p1__delta_1,F4,equal_av,equal_drop,0.8267553521779917,0.782424628906901,2.259835471706059,1.6747761046666627
gnn,q_10__k_0p1__delta_1,F4,equal_av,fixed_drop_10pa,0.8274438508912774,0.8970881442731083,1.850053113305554,0.9607450737908899
gnn,q_10__k_0p1__delta_1,F4,equal_av,gauge_only,0.8468568241438525,0.8751082987823171,2.884557030103019,2.31364281633771
gnn,q_10__k_0p1__delta_1,F4,equal_drop,fixed_drop_10pa,0.8305126840026789,0.7010802989151808,1.8586190945675205,1.5483769717003828
gnn,q_10__k_0p1__delta_1,F4,equal_drop,gauge_only,0.9973015164144547,0.9774729013813622,0.8385711462217501,0.670473051646651
gnn,q_10__k_0p1__delta_1,F4,fixed_drop_10pa,gauge_only,0.8540843241974444,0.7926618858042169,2.1601631017952125,1.9478531081584227
