edge_id,source_node,target_node,selected_for_radius_correction,snr,tile_id,original_radius_m,corrected_radius_m,radius_ratio,radius_percent_change,original_poiseuille_conductance,corrected_poiseuille_conductance,original_delta,selection_strategy,p_original_flow_nl_s,p_original_flow_residual_nl_s,observed_flow_nl_s,p_corrected_flow_nl_s,p_corrected_flow_residual_nl_s,g_original_flow_nl_s,g_original_flow_residual_nl_s,fixed_weight_delta,g_fixed_flow_nl_s,g_fixed_flow_residual_nl_s,retrained_delta,g_retrained_flow_nl_s,g_retrained_flow_residual_nl_s
4557,41197,43291,True,1.083573153803543,-1,2.2665604774374515e-05,2.5619809921711925e-05,1.1303386861610418,13.033868616104185,3.095130005729373e-13,5.052580741477546e-13,0.4900692403316498,low_snr_20pct,0.0033648222893417,0.0156192672185785,-0.0122544440822039,0.004850825975302,0.0171052700575059,-0.0163358747959136,-0.0040814289823174,0.4669952988624573,-0.0239342208951711,-0.0116797760128974,0.468090146780014,-0.0187614168971776,-0.0065069729462265
4558,41217,43362,True,1.7760926062872078,-1,2.171960659325123e-05,2.457480307069565e-05,1.131457099150755,13.14570991507551,1.9818764154482581e-13,3.248096595668278e-13,0.4940250813961029,low_snr_20pct,0.002925600554323,0.0203754143921354,-0.0174498155318782,0.0047977292914869,0.0222475448233652,-0.0206474214792251,-0.0031976068858057,0.4874076843261719,-0.0297480449080467,-0.012298229150474,0.4871016442775726,-0.0232546087354421,-0.0058047929778695
4559,41232,43703,False,17.471442801484162,-1,2.461539042997174e-05,2.461539042997174e-05,1.0,0.0,4.633308950066758e-13,4.633308950066758e-13,0.473493218421936,low_snr_20pct,0.0044454402419109,0.0114087422472262,-0.0069633020053153,0.0048140384873698,0.0117773404926851,-0.0178650114685297,-0.0109017100185155,0.4764760136604309,-0.0181277301162481,-0.0111644277349114,0.4768466055393219,-0.0174974389374256,-0.0105341374874114
4560,41232,41242,False,14.261575111770115,-1,2.7174779461347495e-05,2.7174779461347495e-05,1.0,0.0,9.621864372270362e-13,9.621864372270362e-13,0.1307733505964279,low_snr_20pct,-0.0021716412813789,-0.0366229107010994,0.0344512694197204,-0.0029433086251183,-0.0373945780448388,0.0253702104091644,-0.0090810591354966,0.1519553214311599,0.0289252195507287,-0.0055260495282709,0.1102656051516532,0.0250594038516283,-0.0093918656930327
4561,41237,41242,True,1.731990463129775,-1,2.012988261412829e-05,2.2762290777938603e-05,1.1307711631642967,13.07711631642967,3.05557186177067e-13,4.995643061582023e-13,0.4915993809700012,low_snr_20pct,0.0024732074569745,0.0110736937062585,-0.0086004862492839,0.0033842085441637,0.0119846947934477,-0.0196400191634893,-0.0110395327210426,0.4745372533798218,-0.0234836526215076,-0.0148831671103835,0.4744297564029693,-0.0212620310485363,-0.0126615446060895
4562,41242,41299,False,7.974652857518834,-1,2.853770820365753e-05,2.853770820365753e-05,1.0,0.0,1.493289702343343e-12,1.493289702343343e-12,-0.3418420553207397,low_snr_20pct,0.0009776048760185,-0.040046707977031,0.0410243128530496,0.0011612873587624,-0.0398630254942871,0.0230009425431489,-0.018023369833827,-0.3384780287742615,0.0217890255153179,-0.019235286861658,-0.3471091389656067,0.0192380417138338,-0.0217862725257873
4563,41258,41299,False,9.902129899485493,-1,3.3483807783341035e-05,3.3483807783341035e-05,1.0,0.0,2.224430805268121e-12,2.224430805268121e-12,-0.4532948732376098,low_snr_20pct,0.0161923510759659,0.0730091358327805,-0.0568167881449463,0.0171706673537811,0.0739874554987274,-0.0880418121814727,-0.0312250256538391,-0.454753428697586,-0.0881337448954582,-0.0313169546425342,-0.4489273428916931,-0.0826277285814285,-0.02581094391644
4564,41299,43734,False,12.814391123498494,-1,3.4784909075824544e-05,3.4784909075824544e-05,1.0,0.0,1.5348458020368336e-12,1.5348458020368336e-12,-0.3140855431556701,low_snr_20pct,0.0178420358321702,0.0567480480331448,-0.0389060122009746,0.0190485665028982,0.0579545787038728,-0.0453744120895862,-0.006468400824815,-0.3173432350158691,-0.046131856739521,-0.0072258450090885,-0.3299532234668731,-0.0415159538388252,-0.0026099423412233
4565,41312,43730,False,19.117135866778924,-1,2.488168684067205e-05,2.488168684067205e-05,1.0,0.0,3.1774900576474297e-13,3.1774900576474297e-13,0.2671496868133545,low_snr_20pct,0.0026766321601365,0.0320679537577897,-0.0293913249857849,0.0027791347934573,0.0321704597792423,-0.0313785709440708,-0.0019872509874403,0.2765980362892151,-0.03113947622478,-0.0017481506802141,0.3865563571453094,-0.0325471200048923,-0.0031557939946651
4566,41312,43839,False,,-1,6.918505096109584e-05,6.918505096109584e-05,1.0,0.0,7.010588917878146e-11,7.010588917878146e-11,-0.496089905500412,low_snr_20pct,0.2377544504588574,0.2377544504588574,0.0,0.2418621943348076,0.2418621943348076,-0.4540128111839294,-0.4540128111839294,-0.4961134195327759,-0.4472098648548126,-0.4472098648548126,-0.485683262348175,-0.4369813203811645,-0.4369813203811645
