edge_id,in_targeted_166,in_low_snr_20pct,category
913,False,False,neither
914,False,False,neither
915,False,False,neither
916,False,False,neither
917,False,False,neither
918,False,False,neither
919,False,False,neither
920,False,False,neither
921,False,False,neither
922,False,False,neither
923,False,False,neither
924,False,True,low_snr_only
925,False,False,neither
926,False,False,neither
927,False,False,neither
928,False,True,low_snr_only
929,False,False,neither
930,False,False,neither
931,False,False,neither
932,False,False,neither
933,False,False,neither
934,False,False,neither
935,False,False,neither
936,False,False,neither
937,False,False,neither
938,False,False,neither
939,False,False,neither
940,False,False,neither
941,False,False,neither
942,False,False,neither
943,False,True,low_snr_only
944,False,False,neither
945,False,False,neither
946,False,True,low_snr_only
947,False,False,neither
948,False,False,neither
949,False,False,neither
950,False,False,neither
951,False,False,neither
952,False,False,neither
953,False,False,neither
954,False,False,neither
955,False,False,neither
956,False,False,neither
957,False,False,neither
958,False,False,neither
959,False,False,neither
960,False,False,neither
961,False,False,neither
962,False,True,low_snr_only
963,False,False,neither
964,False,False,neither
965,False,False,neither
966,False,False,neither
967,False,True,low_snr_only
968,False,False,neither
969,False,False,neither
970,False,False,neither
971,False,False,neither
972,False,False,neither
973,False,False,neither
974,False,False,neither
975,False,False,neither
976,False,False,neither
977,False,False,neither
978,False,False,neither
979,False,False,neither
980,False,False,neither
981,False,False,neither
982,False,False,neither
983,False,False,neither
984,False,False,neither
985,False,True,low_snr_only
986,False,False,neither
987,False,False,neither
988,False,False,neither
989,False,False,neither
990,False,False,neither
991,False,False,neither
992,False,False,neither
993,False,True,low_snr_only
994,False,False,neither
995,False,False,neither
996,False,False,neither
997,False,False,neither
998,False,False,neither
999,False,False,neither
1000,False,False,neither
1001,False,False,neither
1002,False,False,neither
1003,False,False,neither
1004,False,False,neither
1005,False,False,neither
1006,False,False,neither
1007,False,False,neither
1008,False,False,neither
1009,False,False,neither
1010,False,False,neither
1011,False,False,neither
1012,False,False,neither
1013,False,False,neither
1014,False,False,neither
1015,False,False,neither
1016,False,False,neither
1017,False,False,neither
1018,False,False,neither
1019,False,False,neither
1020,False,False,neither
1021,False,False,neither
1022,False,False,neither
1023,False,False,neither
1024,False,False,neither
1025,False,False,neither
1026,False,False,neither
1027,False,False,neither
1028,False,False,neither
1029,False,False,neither
1030,False,False,neither
1031,False,False,neither
1032,False,False,neither
1033,False,False,neither
1034,False,False,neither
1035,False,False,neither
1036,False,False,neither
1037,False,False,neither
1038,False,False,neither
1039,False,False,neither
1040,False,False,neither
1041,False,False,neither
1042,False,False,neither
1043,False,False,neither
1044,False,False,neither
1045,False,False,neither
1046,False,False,neither
1047,False,False,neither
1048,False,False,neither
1049,False,False,neither
1050,False,False,neither
1051,False,False,neither
1052,False,False,neither
1053,False,False,neither
1054,False,False,neither
1055,False,False,neither
1056,False,False,neither
1057,False,False,neither
1058,False,False,neither
1059,False,False,neither
1060,False,False,neither
1061,False,True,low_snr_only
1062,False,False,neither
1063,False,False,neither
1064,False,False,neither
1065,False,True,low_snr_only
1066,False,True,low_snr_only
1067,False,False,neither
1068,False,False,neither
1069,False,False,neither
1070,False,False,neither
1071,False,False,neither
1072,False,False,neither
1073,False,False,neither
1074,False,False,neither
1075,False,False,neither
1076,False,False,neither
1077,False,True,low_snr_only
1078,False,False,neither
1079,False,True,low_snr_only
1080,False,False,neither
1081,False,False,neither
1082,False,False,neither
1083,False,True,low_snr_only
1084,False,False,neither
1085,False,False,neither
1086,False,False,neither
1087,False,False,neither
1088,False,False,neither
1089,False,False,neither
1090,False,False,neither
1091,False,False,neither
1092,False,False,neither
1093,False,True,low_snr_only
1094,False,False,neither
1095,False,False,neither
1096,False,False,neither
1097,False,False,neither
1098,False,True,low_snr_only
1099,False,False,neither
1100,False,False,neither
1101,False,False,neither
1102,False,False,neither
1103,False,False,neither
1104,False,False,neither
1105,False,False,neither
1106,False,True,low_snr_only
1107,False,False,neither
1108,False,False,neither
1109,False,False,neither
1110,False,False,neither
1111,False,False,neither
1112,False,True,low_snr_only
1113,False,False,neither
1114,False,False,neither
1115,False,False,neither
1116,False,False,neither
1117,False,False,neither
1118,False,True,low_snr_only
1119,False,False,neither
1120,False,False,neither
1121,False,True,low_snr_only
1122,False,False,neither
1123,False,False,neither
1124,False,False,neither
1125,False,False,neither
1126,False,False,neither
1127,False,False,neither
1128,False,False,neither
1129,False,False,neither
1130,False,False,neither
1131,False,True,low_snr_only
1132,False,False,neither
1133,False,False,neither
1134,False,False,neither
1135,False,False,neither
1136,False,False,neither
1137,False,False,neither
1138,False,False,neither
1139,False,True,low_snr_only
1140,False,False,neither
1141,False,False,neither
1142,False,False,neither
1143,False,False,neither
1144,False,True,low_snr_only
1145,False,False,neither
1146,False,True,low_snr_only
1147,False,False,neither
1148,False,False,neither
1149,False,False,neither
1150,False,True,low_snr_only
1151,False,False,neither
1152,False,False,neither
1153,False,False,neither
1154,False,False,neither
1155,False,False,neither
1156,False,False,neither
1157,False,False,neither
1158,False,False,neither
1159,False,False,neither
1160,False,True,low_snr_only
1161,False,False,neither
1162,False,False,neither
1163,False,False,neither
1164,False,False,neither
1165,False,False,neither
1166,False,False,neither
1167,False,False,neither
1168,False,False,neither
1169,False,False,neither
1170,False,False,neither
1171,False,False,neither
1172,False,False,neither
1173,False,False,neither
1174,False,False,neither
1175,False,False,neither
1176,False,False,neither
1177,False,True,low_snr_only
1178,False,False,neither
1179,False,False,neither
1180,False,False,neither
1181,False,False,neither
1182,False,False,neither
1183,False,True,low_snr_only
1184,False,False,neither
1185,False,False,neither
1186,False,False,neither
1187,False,False,neither
1188,False,False,neither
1189,False,False,neither
1190,False,False,neither
1191,False,False,neither
1192,False,False,neither
1193,False,False,neither
1194,False,False,neither
1195,False,True,low_snr_only
1196,False,False,neither
1197,False,False,neither
1198,False,False,neither
1199,False,False,neither
1200,False,False,neither
1201,False,False,neither
1202,False,False,neither
1203,False,False,neither
1204,False,False,neither
1205,False,True,low_snr_only
1206,False,False,neither
1207,False,False,neither
1208,False,False,neither
1209,False,False,neither
1210,False,False,neither
1211,False,False,neither
1212,False,False,neither
1213,False,False,neither
1214,False,False,neither
1215,False,False,neither
1216,False,False,neither
1217,False,False,neither
1218,False,False,neither
1219,False,False,neither
1220,False,False,neither
1221,False,False,neither
