edge_id,graph_source_node,graph_target_node,source_node,target_node,source_index,target_index,snr,tile_id,original_radius_m,length_m,original_poiseuille_conductance,selection_strategy,selected_for_radius_correction
2794,24486,24626,24486,24626,1875,1884,24.27301296415844,-1,3.353528882144019e-05,0.0001547054562252015,9.172641385754572e-13,targeted_166,True
2800,24555,24587,24555,24587,1880,1881,,-1,2.1745910999015905e-05,0.00010212203051196411,2.456873663435353e-13,targeted_166,True
2801,24555,24603,24555,24603,1880,1882,17.17491542589056,-1,3.4273864002898335e-05,0.00012190671259304509,1.2700373639894267e-12,targeted_166,True
2802,24587,24614,24587,24614,1881,1883,,-1,1.9939830963267013e-05,0.0001564608683111146,1.1336317335755431e-13,targeted_166,True
2803,24603,24626,24603,24626,1882,1884,18.246231582216453,-1,2.7954039978794754e-05,6.449437205446884e-05,1.0623028594650572e-12,targeted_166,True
2804,24603,24614,24603,24614,1882,1883,0.2460202333609597,-1,4.1862516809487715e-05,5.46169831068255e-05,6.3090718576956265e-12,targeted_166,True
2805,24614,24935,24614,24935,1883,1903,,-1,5.351495565264486e-05,3.946772631024942e-05,2.3315804915689663e-11,targeted_166,True
2809,24650,24941,24650,24941,1886,1905,,-1,3.577674215193838e-05,3.863737583742477e-05,4.7575940542190796e-12,targeted_166,True
2836,24935,24941,24935,24941,1903,1905,,-1,5.3938390919938684e-05,4.593178891809657e-05,2.0676185844048717e-11,targeted_166,True
2837,24935,24938,24935,24938,1903,1904,,-1,4.463402001420036e-05,5.7839086366584525e-05,7.699002001142289e-12,targeted_166,True
2838,24938,24952,24938,24952,1904,1906,11.060598189566976,-1,2.8124753953306936e-05,9.641495125833899e-05,7.281190308023675e-13,targeted_166,True
2839,24941,59738,24941,59738,1905,4378,12.696866339583186,-1,2.8019669116474688e-05,5.9821788454428315e-05,1.156070870107729e-12,targeted_166,True
2840,24952,25043,24952,25043,1906,1912,18.55048145171793,-1,4.4555170461535454e-05,8.745346713112667e-05,5.056002122802042e-12,targeted_166,True
2841,24952,25116,24952,25116,1906,1918,22.86906389757767,-1,4.750596053781919e-05,7.384194032056257e-05,7.738934233400283e-12,targeted_166,True
2844,25006,25011,25006,25011,1908,1909,,-1,2.7266558390692808e-05,1.927896482811775e-05,3.21683975848707e-12,targeted_166,True
2846,25006,59738,25006,59738,1908,4378,12.696866339583186,-1,2.8019669116474688e-05,5.9821788454428315e-05,1.156070870107729e-12,targeted_166,True
2847,25011,25096,25011,25096,1909,1917,13.871386998332566,-1,1.7006841517286375e-05,8.155458635883406e-05,1.150901379394978e-13,targeted_166,True
2848,25011,25116,25011,25116,1909,1918,2.7301430783203564,-1,2.523460534575861e-05,0.00014980038395151496,3.037141197913106e-13,targeted_166,True
2850,25042,25063,25042,25063,1911,1915,0.18064879249643562,-1,7.826501678209752e-05,4.9415768444305286e-05,8.519164786027322e-11,targeted_166,True
2851,25055,25116,25055,25116,1914,1918,10.710063528942944,-1,7.120188092812896e-05,6.353763455990702e-05,4.5386497027823155e-11,targeted_166,True
2852,25055,25063,25055,25063,1914,1915,17.00417464821711,-1,7.389628444798291e-05,7.559680670965463e-05,4.4256676792009815e-11,targeted_166,True
2853,25055,25128,25055,25128,1914,1919,32.74117853891657,-1,6.795550871174783e-05,0.00011423550313338637,2.0945436443016163e-11,targeted_166,True
2854,25063,25073,25063,25073,1915,1916,1.2941975342061116,-1,4.288075797376223e-05,0.00012322441034484655,3.078540749964193e-12,targeted_166,True
2855,25073,45328,25073,45328,1916,3348,27.008319333181305,-1,3.389757330296561e-05,0.00014673895202577114,1.0095337963364375e-12,targeted_166,True
2856,25073,45320,25073,45320,1916,3346,0.6183318723188437,-1,4.548383367364295e-05,0.00012015241372864693,3.996571550442982e-12,targeted_166,True
2857,25096,25128,25096,25128,1917,1919,29.356290074399745,-1,3.3395142963854596e-05,0.0001301053853239864,1.0725802508192677e-12,targeted_166,True
2859,25128,25132,25128,25132,1919,1920,29.077332102177465,-1,6.62125603412278e-05,4.7454908781219274e-05,4.5443547353132696e-11,targeted_166,True
2860,25132,25293,25132,25293,1920,1934,34.228087978676115,-1,4.091877053724602e-05,0.00012623632210306823,2.4917118260814776e-12,targeted_166,True
2861,25132,25135,25132,25135,1920,1921,17.770464776543264,-1,7.94787410995923e-05,5.654335836879909e-05,7.917975611025844e-11,targeted_166,True
2862,25135,25317,25135,25317,1921,1935,44.913230255773506,-1,5.607444836641662e-05,0.00014266428479459137,7.77564845388127e-12,targeted_166,True
2863,25135,45966,25135,45966,1921,3408,,-1,6.890246731927618e-05,3.468196518952027e-05,7.291673911389268e-11,targeted_166,True
3927,35182,35278,35182,35278,2643,2654,,-1,2.1678832126781344e-05,3.785429726121947e-05,6.546665970921167e-13,targeted_166,True
3928,35182,45068,35182,45068,2643,3330,0.48624818822615395,-1,2.5016381187015213e-05,5.161466833669692e-05,8.513666693388481e-13,targeted_166,True
3929,35187,35278,35187,35278,2644,2654,1.1529069906203375,-1,2.1913796445005573e-05,7.525007822550833e-05,3.43839192708621e-13,targeted_166,True
3943,35262,35272,35262,35272,2651,2653,39.29289731473695,-1,5.453313860925846e-05,0.00012118726590415463,8.187981058003248e-12,targeted_166,True
3944,35272,45171,35272,45171,2653,3337,17.39981776998802,-1,8.648574294056743e-05,6.766059959772974e-05,9.277566612100981e-11,targeted_166,True
